run,total_steps
1,644
2,1543
3,398
4,578
5,292
6,700
7,509
8,713
9,838
10,685
11,908
12,664
13,822
14,482
15,439
16,601
17,515
18,922
19,657
20,548
21,618
22,470
23,324
24,1241
25,396
26,641
27,620
28,732
29,865
30,694
31,743
32,768
33,400
34,642
35,580
36,767
37,467
38,500
39,456
40,433
41,1125
42,637
43,910
44,589
45,670
46,997
47,455
48,392
49,1177
50,500
51,544
52,821
53,847
54,912
55,761
56,824
57,1039
58,524
59,621
60,644
61,618
62,420
63,917
64,697
65,490
66,558
67,1028
68,408
69,490
70,1067
71,627
72,681
73,539
74,695
75,671
76,1116
77,500
78,531
79,447
80,511
81,666
82,763
83,683
84,475
85,582
86,609
87,557
88,612
89,722
90,649
91,621
92,967
93,828
94,435
95,765
96,433
97,463
98,793
99,427
100,763
101,593
102,515
103,587
104,654
105,671
106,717
107,711
108,704
109,558
110,442
111,658
112,789
113,750
114,522
115,721
116,597
117,633
118,534
119,694
120,697
121,383
122,730
123,735
124,708
125,382
126,581
127,777
128,514
129,866
130,500
131,684
132,652
133,818
134,598
135,498
136,721
137,691
138,718
139,742
140,645
141,653
142,568
143,726
144,436
145,1210
146,595
147,1025
148,340
149,524
150,421
151,748
152,463
153,626
154,709
155,600
156,532
157,1224
158,816
159,475
160,764
161,547
162,275
163,764
164,561
165,643
166,1012
167,1121
168,506
169,667
170,785
171,692
172,478
173,416
174,1314
175,517
176,653
177,1023
178,588
179,1274
180,402
181,540
182,800
183,802
184,1475
185,588
186,753
187,707
188,736
189,1552
190,934
191,614
192,798
193,1019
194,1010
195,747
196,607
197,860
198,592
199,780
200,592
201,994
202,663
203,1015
204,887
205,797
206,669
207,1242
208,570
209,558
210,563
211,792
212,460
213,731
214,870
215,1061
216,867
217,524
218,643
219,801
220,506
221,1055
222,904
223,509
224,710
225,685
226,1019
227,994
228,750
229,1107
230,680
231,1037
232,371
233,454
234,583
235,381
236,1307
237,584
238,570
239,665
240,874
241,436
242,531
243,959
244,586
245,761
246,498
247,707
248,872
249,608
250,477
251,418
252,668
253,595
254,1717
255,849
256,712
257,645
258,460
259,983
260,616
261,573
262,599
263,632
264,373
265,643
266,837
267,833
268,684
269,466
270,1300
271,438
272,1047
273,538
274,919
275,484
276,601
277,1056
278,500
279,376
280,630
281,467
282,970
283,651
284,683
285,1282
286,620
287,436
288,413
289,442
290,535
291,1075
292,728
293,537
294,1145
295,492
296,536
297,763
298,963
299,829
300,524
301,765
302,763
303,697
304,527
305,611
306,911
307,526
308,863
309,712
310,419
311,699
312,480
313,830
314,664
315,680
316,1048
317,554
318,642
319,1035
320,594
321,479
322,599
323,924
324,666
325,453
326,605
327,735
328,616
329,712
330,713
331,453
332,446
333,678
334,549
335,768
336,562
337,526
338,591
339,894
340,864
341,417
342,402
343,935
344,652
345,621
346,659
347,488
348,1003
349,458
350,459
351,606
352,827
353,756
354,629
355,524
356,501
357,938
358,972
359,632
360,484
361,665
362,414
363,455
364,805
365,838
366,871
367,698
368,599
369,575
370,525
371,760
372,680
373,830
374,587
375,558
376,706
377,1014
378,453
379,788
380,896
381,947
382,788
383,766
384,834
385,652
386,624
387,338
388,710
389,607
390,689
391,1200
392,433
393,701
394,600
395,558
396,462
397,1399
398,562
399,1162
400,416
401,802
402,587
403,424
404,608
405,586
406,751
407,327
408,995
409,653
410,612
411,694
412,396
413,294
414,795
415,947
416,695
417,904
418,541
419,1031
420,789
421,415
422,500
423,440
424,675
425,590
426,706
427,650
428,546
429,527
430,741
431,557
432,791
433,624
434,697
435,629
436,430
437,974
438,558
439,649
440,496
441,890
442,859
443,677
444,431
445,627
446,631
447,533
448,644
449,900
450,570
451,568
452,683
453,674
454,788
455,542
456,716
457,944
458,631
459,780
460,471
461,314
462,1312
463,840
464,990
465,793
466,586
467,670
468,527
469,560
470,899
471,813
472,489
473,313
474,747
475,469
476,1374
477,574
478,518
479,900
480,1367
481,599
482,804
483,506
484,699
485,938
486,806
487,499
488,519
489,553
490,370
491,645
492,401
493,377
494,587
495,561
496,575
497,371
498,931
499,660
500,744
501,944
502,704
503,455
504,833
505,1160
506,809
507,730
508,494
509,749
510,666
511,686
512,458
513,642
514,914
515,798
516,905
517,1199
518,653
519,445
520,723
521,558
522,1053
523,483
524,805
525,568
526,767
527,603
528,457
529,693
530,769
531,598
532,1152
533,509
534,611
535,702
536,574
537,1183
538,461
539,571
540,693
541,312
542,785
543,797
544,300
545,501
546,916
547,651
548,937
549,696
550,956
551,598
552,629
553,991
554,574
555,544
556,404
557,637
558,701
559,962
560,815
561,774
562,695
563,564
564,1120
565,755
566,665
567,512
568,611
569,567
570,845
571,410
572,600
573,660
574,740
575,470
576,673
577,616
578,606
579,501
580,809
581,445
582,350
583,666
584,484
585,433
586,549
587,617
588,940
589,477
590,1179
591,713
592,421
593,945
594,841
595,569
596,748
597,843
598,1011
599,745
600,590
601,600
602,712
603,740
604,562
605,414
606,742
607,545
608,1012
609,798
610,898
611,767
612,1003
613,465
614,512
615,936
616,593
617,775
618,592
619,719
620,422
621,793
622,579
623,602
624,646
625,384
626,679
627,674
628,565
629,721
630,558
631,672
632,479
633,772
634,753
635,1005
636,905
637,439
638,989
639,859
640,608
641,496
642,1036
643,1024
644,887
645,622
646,613
647,620
648,663
649,863
650,652
651,628
652,902
653,874
654,576
655,744
656,575
657,526
658,944
659,379
660,580
661,748
662,525
663,718
664,435
665,331
666,593
667,344
668,488
669,365
670,673
671,520
672,671
673,667
674,481
675,546
676,544
677,937
678,518
679,942
680,908
681,914
682,752
683,364
684,470
685,418
686,640
687,693
688,1049
689,597
690,860
691,622
692,683
693,543
694,690
695,934
696,376
697,457
698,903
699,1190
700,927
701,524
702,783
703,873
704,621
705,765
706,1507
707,538
708,1135
709,785
710,806
711,575
712,527
713,611
714,598
715,819
716,448
717,479
718,1008
719,864
720,974
721,382
722,765
723,752
724,1133
725,884
726,725
727,922
728,995
729,693
730,509
731,772
732,1214
733,1243
734,1050
735,712
736,681
737,656
738,895
739,316
740,882
741,568
742,742
743,804
744,502
745,796
746,803
747,549
748,1399
749,909
750,749
751,703
752,935
753,667
754,629
755,417
756,604
757,627
758,522
759,520
760,399
761,406
762,815
763,666
764,1023
765,324
766,477
767,447
768,755
769,348
770,834
771,747
772,418
773,725
774,756
775,762
776,698
777,506
778,483
779,841
780,1037
781,691
782,719
783,564
784,1102
785,676
786,1470
787,620
788,606
789,413
790,509
791,568
792,1025
793,523
794,912
795,462
796,539
797,547
798,829
799,607
800,567
801,855
802,369
803,688
804,953
805,609
806,519
807,1076
808,637
809,811
810,479
811,1112
812,1040
813,539
814,560
815,960
816,600
817,704
818,621
819,536
820,682
821,509
822,683
823,953
824,765
825,377
826,956
827,1046
828,812
829,369
830,494
831,515
832,526
833,529
834,865
835,1131
836,642
837,761
838,460
839,804
840,718
841,734
842,499
843,1106
844,836
845,470
846,405
847,553
848,610
849,796
850,495
851,903
852,559
853,948
854,708
855,872
856,490
857,517
858,783
859,843
860,825
861,218
862,956
863,797
864,573
865,614
866,628
867,814
868,397
869,966
870,904
871,994
872,438
873,666
874,642
875,364
876,716
877,550
878,561
879,526
880,853
881,597
882,596
883,477
884,414
885,652
886,802
887,910
888,1025
889,633
890,496
891,928
892,1512
893,807
894,347
895,835
896,456
897,509
898,612
899,821
900,887
901,810
902,960
903,434
904,1065
905,711
906,405
907,538
908,411
909,501
910,584
911,775
912,583
913,815
914,593
915,403
916,891
917,352
918,555
919,774
920,406
921,632
922,527
923,652
924,549
925,857
926,572
927,638
928,492
929,569
930,728
931,762
932,897
933,584
934,701
935,616
936,411
937,393
938,411
939,787
940,989
941,593
942,615
943,738
944,917
945,902
946,822
947,699
948,906
949,673
950,654
951,548
952,766
953,858
954,683
955,965
956,456
957,813
958,662
959,489
960,595
961,1122
962,883
963,772
964,365
965,740
966,946
967,1027
968,428
969,544
970,552
971,540
972,600
973,620
974,650
975,850
976,872
977,536
978,991
979,1255
980,598
981,691
982,408
983,441
984,842
985,874
986,400
987,726
988,877
989,960
990,611
991,906
992,888
993,1016
994,491
995,468
996,717
997,934
998,549
999,657
1000,840
