run,total_steps
1,13845
2,17413
3,27601
4,16901
5,15278
6,15728
7,15497
8,20244
9,25364
10,14367
11,17032
12,28551
13,24920
14,17044
15,16465
16,25265
17,15346
18,25764
19,30523
20,20594
21,22695
22,49929
23,35529
24,19998
25,16507
26,39853
27,22022
28,19193
29,16774
30,16260
31,20388
32,20627
33,25990
34,18567
35,18825
36,8789
37,21939
38,20339
39,31209
40,14397
41,13894
42,28515
43,20805
44,22227
45,18035
46,25260
47,24378
48,15895
49,20779
50,34901
51,22515
52,34239
53,25067
54,22798
55,17254
56,15179
57,19445
58,18367
59,35728
60,16070
61,28132
62,12642
63,55468
64,16917
65,20648
66,19150
67,20491
68,24708
69,25260
70,24035
71,17836
72,36615
73,15198
74,37129
75,25070
76,12165
77,13354
78,24081
79,35112
80,23560
81,29302
82,10736
83,29123
84,25463
85,14572
86,24875
87,19716
88,22645
89,38876
90,20056
91,12527
92,25675
93,19437
94,22849
95,25575
96,17915
97,16519
98,22375
99,37209
100,13598
101,16358
102,16002
103,23365
104,19516
105,21706
106,18597
107,30752
108,30915
109,16457
110,19682
111,10888
112,17958
113,10813
114,10859
115,22337
116,15383
117,12367
118,12773
119,20489
120,16574
121,22579
122,18763
123,17086
124,20826
125,16098
126,14144
127,29483
128,41470
129,19677
130,22856
131,25121
132,27105
133,17311
134,19507
135,11707
136,24002
137,27569
138,18974
139,19428
140,29443
141,22020
142,12666
143,23057
144,31052
145,17635
146,17413
147,24972
148,12418
149,13146
150,20473
151,16718
152,11423
153,15988
154,15664
155,14434
156,18858
157,23600
158,27344
159,22270
160,20823
161,28197
162,18508
163,11634
164,14311
165,35525
166,21174
167,63047
168,20550
169,11671
170,19504
171,36867
172,19477
173,25539
174,13955
175,25918
176,17909
177,23293
178,15927
179,17775
180,21706
181,15082
182,24391
183,18347
184,22542
185,21942
186,16847
187,14029
188,17255
189,35052
190,31850
191,16665
192,21528
193,30710
194,23244
195,15110
196,37936
197,28417
198,27152
199,21633
200,25768
201,21736
202,14390
203,9610
204,14053
205,25599
206,19583
207,26389
208,28041
209,17241
210,14745
211,21279
212,16475
213,26645
214,21786
215,26304
216,12138
217,21927
218,19714
219,23678
220,15765
221,18575
222,21606
223,19374
224,24871
225,12798
226,11321
227,20173
228,23096
229,21428
230,16304
231,17220
232,29836
233,31835
234,29453
235,20656
236,21527
237,40281
238,38703
239,33112
240,31092
241,32479
242,27561
243,16609
244,21766
245,14537
246,18083
247,26944
248,17694
249,19631
250,22152
251,22736
252,14091
253,33792
254,16006
255,24274
256,22568
257,7111
258,9371
259,26511
260,35372
261,17727
262,11787
263,26467
264,38889
265,43046
266,26551
267,22353
268,10251
269,38141
270,22968
271,16556
272,16112
273,26582
274,20133
275,21933
276,14058
277,20578
