run,total_steps
1,3709
2,2627
3,3408
4,2709
5,4261
6,2279
7,2633
8,3237
9,4832
10,3427
11,4703
12,3798
13,3688
14,4259
15,3079
16,2178
17,3089
18,2616
19,6267
20,3935
21,2374
22,3046
23,1874
24,4136
25,3629
26,3507
27,4344
28,3501
29,4094
30,3521
31,2591
32,2904
33,3930
34,2339
35,4291
36,3155
37,2849
38,3359
39,4520
40,3091
41,5406
42,2756
43,3400
44,4785
45,1802
46,3482
47,2392
48,4375
49,5327
50,3666
51,2320
52,5353
53,3251
54,2337
55,3841
56,4147
57,2920
58,2112
59,3443
60,2679
61,4118
62,3807
63,4262
64,3868
65,4919
66,1529
67,2581
68,5281
69,3537
70,2265
71,5530
72,2481
73,3173
74,4208
75,4017
76,2755
77,5590
78,3606
79,3295
80,3343
81,3561
82,2956
83,3018
84,3064
85,3408
86,2572
87,3922
88,3559
89,3037
90,5715
91,2927
92,3495
93,3477
94,3209
95,3162
96,3485
97,3760
98,4243
99,3876
100,2475
101,3703
102,2341
103,2151
104,2544
105,2199
106,2726
107,4645
108,2658
109,2268
110,2108
111,3425
112,3325
113,4301
114,2389
115,2973
116,6292
117,4193
118,2723
119,3914
120,3715
121,4065
122,3396
123,3201
124,3047
125,2761
126,2401
127,4482
128,4113
129,7787
130,3702
131,2366
132,2851
133,5001
134,2827
135,2872
136,3199
137,3522
138,3255
139,2803
140,2863
141,2215
142,2244
143,3264
144,3041
145,3412
146,3932
147,4157
148,3912
149,3047
150,3379
151,3405
152,3951
153,1933
154,2230
155,7157
156,4614
157,3415
158,2412
159,3178
160,3179
161,2923
162,1305
163,3686
164,2901
165,5150
166,3895
167,2986
168,4735
169,3646
170,3837
171,4869
172,5224
173,3192
174,2452
175,4487
176,3940
177,3336
178,2213
179,3427
180,2530
181,4162
182,3564
183,2590
184,1900
185,4146
186,1621
187,4757
188,4366
189,5783
190,2092
191,4820
192,1545
193,2360
194,1689
195,2185
196,2800
197,4062
198,3549
199,4952
200,3165
201,6841
202,3379
203,3076
204,2045
205,3614
206,4260
207,2368
208,3831
