run,total_steps
1,1441
2,1243
3,1160
4,1061
5,1129
6,1560
7,1422
8,1904
9,2039
10,2055
11,2130
12,1337
13,755
14,1102
15,1510
16,1095
17,1210
18,1418
19,2292
20,1546
21,1052
22,2044
23,1819
24,1481
25,3860
26,1508
27,824
28,1060
29,1083
30,1229
31,1366
32,1345
33,1393
34,1766
35,1900
36,1008
37,1806
38,2963
39,1953
40,5050
41,1650
42,1753
43,326
44,2477
45,2530
46,1752
47,1030
48,1484
49,1989
50,1954
51,1130
52,2136
53,2009
54,2055
55,1273
56,1199
57,1207
58,1661
59,1294
60,2239
61,1653
62,1030
63,2516
64,1992
65,1050
66,2316
67,867
68,823
69,1739
70,1579
71,1912
72,2916
73,544
74,1010
75,870
76,2137
77,1184
78,2377
79,1475
80,1559
81,514
82,1395
83,1610
84,1401
85,1528
86,2114
87,965
88,1823
89,2797
90,790
91,1061
92,2131
93,1359
94,1069
95,2897
96,2397
97,1914
98,2238
99,2499
100,1526
101,1364
102,591
103,3742
104,2497
105,1778
106,880
107,1038
108,1852
109,2218
110,1545
111,1090
112,2809
113,2419
114,1672
115,2073
116,2144
117,3331
118,1563
119,1208
120,1214
121,1134
122,1223
123,1714
124,2038
125,778
126,1484
127,2424
128,854
129,2360
130,1582
131,649
132,1100
133,1640
134,2502
135,1608
136,2617
137,961
138,1249
139,1297
140,865
141,1154
142,1178
143,1113
144,1613
145,1892
146,1417
147,1913
148,1305
149,2413
150,2886
151,2369
152,1111
153,1639
154,1751
155,949
156,1182
157,1716
158,1609
159,1230
160,1729
161,1444
162,1076
163,1761
164,1464
165,1267
166,651
167,1605
168,862
169,1872
170,1265
171,1026
172,1173
173,1913
174,2138
175,1373
176,1670
177,2092
178,1614
179,952
180,1840
181,1833
182,1506
183,1298
184,2052
185,1318
186,1408
187,762
188,1609
189,1089
190,1228
191,687
192,1351
193,1397
194,2048
195,982
196,2705
197,2601
198,1581
199,2570
200,1484
201,2003
202,2508
203,1447
204,1946
205,1635
206,2275
207,2606
208,1511
209,1227
210,899
211,1459
212,1081
213,1625
214,1333
215,1302
216,3323
217,1279
218,1249
219,1644
220,1145
221,531
222,820
223,2116
224,1627
225,2283
226,1710
227,3065
228,2402
229,2113
230,1027
231,1163
232,612
233,1260
234,2274
235,873
236,1520
237,1348
238,1425
239,906
240,2016
241,1135
242,1838
243,1611
244,1220
245,1936
246,1618
247,3040
248,1528
249,2589
250,911
251,886
252,1176
253,1456
254,944
255,2863
256,1690
257,2348
258,1504
259,1311
260,1954
261,1140
262,1679
263,1079
264,1317
265,1343
266,1867
267,1110
268,1601
269,1628
270,4594
271,1526
272,1138
273,2095
274,930
275,3914
276,1024
277,1999
278,2092
279,975
280,1154
281,1757
282,2866
283,1450
284,1006
285,2083
286,2488
287,3030
288,2278
289,1056
290,1202
291,2626
292,1510
293,1286
294,1697
295,1976
296,1654
297,1503
298,1760
299,1176
300,1682
301,2211
302,1001
303,3572
304,1160
305,1307
306,1048
307,2948
308,3095
309,1390
310,2357
311,1341
312,1042
313,1080
314,1549
315,2048
316,1119
317,1022
318,1430
319,1684
320,1379
321,2126
322,855
323,2123
324,679
325,1167
326,1546
327,1392
328,1221
329,1634
330,1376
331,1650
332,2015
333,908
334,1242
335,2503
336,2400
337,1471
338,2410
339,2400
340,1274
341,1119
342,995
343,761
344,2031
345,4203
346,1927
347,1380
348,1742
349,1738
350,1074
351,1959
352,1077
353,1816
354,2460
355,1364
356,635
357,875
358,1244
359,1803
360,1595
361,1660
362,1841
363,1570
364,1865
365,1746
366,902
367,1111
368,1524
369,2508
370,1428
371,606
372,1673
373,3072
374,2061
375,1357
376,2289
377,1616
378,1275
379,1686
380,1234
381,2066
382,1028
383,1073
384,3542
385,1498
386,1575
387,1948
388,996
389,2163
390,966
391,1148
392,1503
393,2891
394,883
395,984
396,4627
397,2813
398,949
399,1584
400,687
401,1101
402,1242
403,842
404,2600
405,1367
406,1318
407,1570
408,943
409,1329
410,2154
411,2532
412,837
413,1479
414,1524
415,628
416,789
417,3239
418,1960
419,1479
420,1726
421,1280
422,1117
423,1187
424,1337
425,1494
426,2740
427,1107
428,2071
429,1986
430,791
431,1136
432,2702
433,1976
434,1735
435,2133
436,1811
437,2967
438,2189
439,1807
440,2856
441,3032
442,884
443,1069
444,1589
445,1090
446,2581
447,1389
448,1045
449,1501
450,931
451,1055
452,2072
453,1853
454,1059
455,1418
456,3407
457,2115
458,2399
459,2010
460,1315
461,1957
462,844
463,1115
464,1516
465,996
466,2006
467,1376
468,1534
469,1523
470,2706
471,790
472,1352
473,1339
474,3020
475,1517
476,535
477,3310
478,1750
479,1096
480,2330
481,2165
482,1697
483,1565
484,889
485,1593
486,1050
487,1997
488,2228
489,2444
490,782
491,1308
492,953
493,1219
494,2280
495,1113
496,2214
497,1365
498,1521
499,1275
500,862
501,1230
502,3514
503,630
504,1460
505,1551
506,687
507,864
508,1320
509,1158
510,1408
511,2038
512,1862
513,1154
514,4302
515,1172
516,2623
517,1390
518,1324
519,1706
520,1476
521,1280
522,1120
523,1466
524,1170
525,3029
526,1499
527,1375
528,664
529,1917
530,1034
531,870
532,1275
533,975
534,2741
535,1698
536,2321
537,1407
538,1240
539,705
540,1726
541,1149
542,1254
543,1540
544,974
545,1602
546,2229
547,1295
548,1560
549,2697
550,1617
551,1789
552,3375
553,503
554,1609
555,2305
556,1646
557,1834
558,1749
559,1836
560,2166
561,717
562,1199
563,1375
564,1578
565,1992
566,3770
567,1671
568,1749
569,2249
570,633
571,1538
572,1228
573,1482
574,1861
575,1213
576,3082
577,916
578,2058
579,1043
580,1716
581,1365
582,1097
583,1692
584,2547
585,1206
586,1222
587,1322
588,1133
589,2563
590,3447
591,2118
592,1550
593,1635
594,2015
595,2305
596,851
597,1116
598,2003
599,886
600,2219
601,1783
602,1484
603,2073
604,982
605,1344
606,2033
607,1712
608,1062
609,1117
610,1764
611,2623
612,1042
613,1280
614,2277
615,1905
616,2397
617,2005
618,1295
619,2507
620,1196
621,2476
622,1584
623,916
624,1919
625,2281
626,1484
627,663
628,2379
629,1206
630,987
631,1234
632,1664
633,1446
634,1426
635,1520
636,2013
637,3102
638,3180
639,1788
640,2659
641,2318
642,1684
643,1751
644,1276
645,1359
646,1320
647,861
648,2504
649,1336
650,2575
651,1025
652,1167
653,1192
654,1282
655,1350
656,1149
657,1543
658,814
659,785
660,1616
661,2476
662,1160
663,1457
664,1612
665,804
666,1435
667,1472
668,1509
669,1164
670,1444
671,1968
672,1522
673,744
674,1591
675,1887
676,1541
677,879
678,1399
679,1568
680,1600
681,1023
682,1195
683,1486
684,1681
685,1994
686,1374
687,1838
688,1721
689,1581
690,1694
691,516
692,1254
693,2087
694,2635
695,1694
696,1529
697,810
698,712
699,969
700,1818
701,1633
702,1487
703,1491
704,2082
705,1817
706,1121
707,819
708,2671
709,1473
710,4789
711,511
712,1854
713,1831
714,2920
715,1272
716,1363
717,839
718,2224
719,1656
720,4286
721,1513
722,1995
723,1852
724,1745
725,1493
726,1398
727,2036
728,3720
729,1172
730,1625
731,2868
732,2286
733,1587
734,1429
735,1663
736,1104
737,1350
738,893
739,1605
740,1736
741,1675
742,1002
743,965
744,1832
745,1861
746,2733
747,1829
748,861
749,1637
750,2002
751,825
752,1048
753,1387
754,694
755,1745
756,1127
757,1919
758,815
759,2471
760,1577
761,1713
762,2301
763,1351
764,1688
765,1143
766,1908
767,1718
768,1448
769,1468
770,1948
771,1672
772,1931
773,902
774,1950
775,2236
776,1110
777,1671
778,2561
779,2220
780,3180
781,1237
782,3532
783,2324
784,1552
785,1747
786,1476
787,1948
788,685
789,2711
790,1497
791,1255
792,1072
793,2326
794,1974
795,1475
796,2097
797,1625
798,1003
799,1915
800,1595
801,1950
802,2096
803,1874
804,855
805,1599
806,1416
807,1126
808,1143
809,677
810,2304
811,1089
812,2220
813,1199
814,822
815,1393
816,803
817,812
818,2090
819,2426
820,1629
821,1025
822,1318
823,1706
824,2643
825,1256
826,2257
827,833
828,1852
829,1169
830,2228
831,1054
832,2681
833,1119
834,2461
835,1735
836,3015
837,1589
838,928
839,1238
840,1184
841,982
842,2207
843,2603
844,1384
845,1382
846,1613
847,1066
848,1640
849,1129
850,1843
851,860
852,1289
853,2624
854,1827
855,692
856,1400
857,938
858,1137
859,2868
860,1582
861,1714
862,1397
863,2343
864,628
865,3554
866,1897
867,767
868,1191
869,744
870,910
871,990
872,487
873,1136
874,917
875,1698
876,1873
877,1567
878,1939
879,1847
880,1074
881,982
882,1362
883,1353
884,1548
885,1907
886,1288
887,1335
888,1249
889,729
890,1809
891,1527
892,1615
893,1488
894,1265
895,2455
896,1325
897,2530
898,1046
899,3455
900,1436
901,1438
902,956
903,1630
904,830
905,1692
906,1756
907,1265
908,1455
909,1699
910,1480
911,1265
912,1268
913,954
914,2499
915,1283
916,1013
917,2716
918,1014
919,1662
920,969
921,1478
922,2824
923,1727
924,1481
925,1502
926,780
927,2334
928,3144
929,2485
930,2227
931,1616
932,996
933,1632
934,1095
935,1041
936,1046
937,1637
938,1700
939,3252
940,768
941,1772
942,1725
943,1041
944,1458
945,848
946,1373
947,1208
948,1987
949,1625
950,2505
951,2199
952,3525
953,1466
954,1718
955,878
956,2910
957,1162
958,1995
959,2411
960,414
961,1499
962,968
963,1476
964,642
965,2126
966,1969
967,1396
968,1353
969,2871
970,990
971,1634
972,2242
973,1350
974,1844
975,2076
976,817
977,1296
978,1381
979,1877
980,2236
981,1551
982,1589
983,1003
984,1499
985,1223
986,1689
987,1265
988,1137
989,1777
990,926
991,1898
992,1502
993,3605
994,1876
995,616
996,1187
997,2542
998,1430
999,1601
1000,1002
