run,after_nr_steps,remaining_food
1,100,94
1,200,84
1,300,78
1,400,74
1,500,69
1,600,65
1,700,62
1,800,59
1,900,54
1,1000,48
1,1100,47
1,1200,44
1,1300,41
1,1400,40
1,1500,38
1,1600,35
1,1700,30
1,1800,27
1,1900,24
1,2000,23
1,2100,21
1,2200,21
1,2300,17
1,2400,14
1,2500,10
1,2600,9
1,2700,7
1,2800,7
1,2900,7
1,3000,7
1,3100,6
1,3200,5
1,3300,4
1,3400,4
1,3500,2
1,3600,1
1,3700,1
1,3709,0
2,100,96
2,200,92
2,300,87
2,400,80
2,500,73
2,600,69
2,700,62
2,800,58
2,900,54
2,1000,50
2,1100,44
2,1200,37
2,1300,35
2,1400,32
2,1500,28
2,1600,25
2,1700,22
2,1800,17
2,1900,15
2,2000,11
2,2100,8
2,2200,5
2,2300,4
2,2400,2
2,2500,2
2,2600,1
2,2627,0
3,100,97
3,200,96
3,300,88
3,400,80
3,500,73
3,600,67
3,700,61
3,800,57
3,900,49
3,1000,45
3,1100,40
3,1200,33
3,1300,27
3,1400,24
3,1500,22
3,1600,19
3,1700,17
3,1800,16
3,1900,13
3,2000,10
3,2100,9
3,2200,9
3,2300,9
3,2400,8
3,2500,8
3,2600,8
3,2700,7
3,2800,6
3,2900,3
3,3000,3
3,3100,2
3,3200,2
3,3300,1
3,3400,1
3,3408,0
4,100,93
4,200,87
4,300,78
4,400,68
4,500,61
4,600,53
4,700,48
4,800,47
4,900,43
4,1000,40
4,1100,35
4,1200,31
4,1300,28
4,1400,26
4,1500,24
4,1600,20
4,1700,18
4,1800,18
4,1900,13
4,2000,11
4,2100,9
4,2200,7
4,2300,6
4,2400,5
4,2500,4
4,2600,2
4,2700,1
4,2709,0
5,100,96
5,200,95
5,300,87
5,400,85
5,500,81
5,600,80
5,700,73
5,800,70
5,900,66
5,1000,60
5,1100,56
5,1200,54
5,1300,51
5,1400,45
5,1500,42
5,1600,40
5,1700,39
5,1800,38
5,1900,33
5,2000,31
5,2100,29
5,2200,28
5,2300,27
5,2400,26
5,2500,24
5,2600,21
5,2700,19
5,2800,16
5,2900,14
5,3000,14
5,3100,12
5,3200,8
5,3300,7
5,3400,7
5,3500,6
5,3600,6
5,3700,6
5,3800,6
5,3900,6
5,4000,6
5,4100,5
5,4200,2
5,4261,0
6,100,92
6,200,88
6,300,78
6,400,72
6,500,65
6,600,54
6,700,43
6,800,34
6,900,29
6,1000,22
6,1100,18
6,1200,15
6,1300,13
6,1400,13
6,1500,10
6,1600,6
6,1700,5
6,1800,4
6,1900,2
6,2000,2
6,2100,2
6,2200,1
6,2279,0
7,100,92
7,200,86
7,300,82
7,400,76
7,500,73
7,600,63
7,700,58
7,800,53
7,900,44
7,1000,41
7,1100,35
7,1200,30
7,1300,22
7,1400,21
7,1500,17
7,1600,10
7,1700,9
7,1800,9
7,1900,8
7,2000,7
7,2100,6
7,2200,6
7,2300,4
7,2400,3
7,2500,2
7,2600,1
7,2633,0
8,100,97
8,200,93
8,300,92
8,400,82
8,500,77
8,600,70
8,700,60
8,800,54
8,900,52
8,1000,45
8,1100,39
8,1200,35
8,1300,32
8,1400,29
8,1500,25
8,1600,22
8,1700,19
8,1800,18
8,1900,17
8,2000,16
8,2100,15
8,2200,14
8,2300,12
8,2400,12
8,2500,12
8,2600,10
8,2700,9
8,2800,7
8,2900,5
8,3000,5
8,3100,2
8,3200,1
8,3237,0
9,100,97
9,200,92
9,300,87
9,400,83
9,500,81
9,600,80
9,700,78
9,800,77
9,900,74
9,1000,73
9,1100,70
9,1200,69
9,1300,66
9,1400,62
9,1500,58
9,1600,52
9,1700,49
9,1800,46
9,1900,42
9,2000,41
9,2100,39
9,2200,38
9,2300,35
9,2400,33
9,2500,30
9,2600,27
9,2700,24
9,2800,19
9,2900,18
9,3000,17
9,3100,16
9,3200,15
9,3300,15
9,3400,14
9,3500,13
9,3600,12
9,3700,12
9,3800,11
9,3900,10
9,4000,10
9,4100,10
9,4200,6
9,4300,6
9,4400,5
9,4500,5
9,4600,4
9,4700,4
9,4800,3
9,4832,0
10,100,91
10,200,84
10,300,82
10,400,76
10,500,69
10,600,65
10,700,56
10,800,52
10,900,46
10,1000,41
10,1100,36
10,1200,33
10,1300,31
10,1400,28
