run,after_nr_steps,remaining_food
1,100,99
1,200,99
1,300,98
1,400,98
1,500,96
1,600,96
1,700,95
1,800,95
1,900,95
1,1000,95
1,1100,94
1,1200,94
1,1300,94
1,1400,94
1,1500,94
1,1600,94
1,1700,94
1,1800,93
1,1900,93
1,2000,93
1,2100,93
1,2200,91
1,2300,90
1,2400,89
1,2500,89
1,2600,86
1,2700,85
1,2800,84
1,2900,83
1,3000,83
1,3100,83
1,3200,82
1,3300,82
1,3400,82
1,3500,81
1,3600,81
1,3700,81
1,3800,79
1,3900,77
1,4000,77
1,4100,77
1,4200,77
1,4300,76
1,4400,76
1,4500,76
1,4600,75
1,4700,72
1,4800,72
1,4900,72
1,5000,71
1,5100,71
1,5200,71
1,5300,71
1,5400,71
1,5500,71
1,5600,70
1,5700,70
1,5800,70
1,5900,70
1,6000,70
1,6100,70
1,6200,69
1,6300,68
1,6400,67
1,6500,66
1,6600,66
1,6700,66
1,6800,66
1,6900,66
1,7000,64
1,7100,64
1,7200,64
1,7300,64
1,7400,64
1,7500,63
1,7600,63
1,7700,63
1,7800,63
1,7900,62
1,8000,62
1,8100,61
1,8200,61
1,8300,61
1,8400,60
1,8500,59
1,8600,58
1,8700,58
1,8800,57
1,8900,55
1,9000,55
1,9100,55
1,9200,54
1,9300,53
1,9400,52
1,9500,51
1,9600,50
1,9700,49
1,9800,49
1,9900,49
1,10000,48
1,10100,47
1,10200,47
1,10300,47
1,10400,46
1,10500,45
1,10600,45
1,10700,44
1,10800,44
1,10900,44
1,11000,42
1,11100,41
1,11200,41
1,11300,41
1,11400,40
1,11500,39
1,11600,39
1,11700,39
1,11800,39
1,11900,39
1,12000,39
1,12100,39
1,12200,39
1,12300,39
1,12400,39
1,12500,38
1,12600,38
1,12700,38
1,12800,38
1,12900,38
1,13000,37
1,13100,36
1,13200,34
1,13300,33
1,13400,33
1,13500,31
1,13600,30
1,13700,29
1,13800,29
1,13900,29
1,14000,29
1,14100,28
1,14200,28
1,14300,28
1,14400,28
1,14500,28
1,14600,28
1,14700,28
1,14800,28
1,14900,28
1,15000,28
1,15100,28
1,15200,28
1,15300,28
1,15400,28
1,15500,27
1,15600,27
1,15700,26
1,15800,25
1,15900,24
1,16000,24
1,16100,24
1,16200,23
1,16300,23
1,16400,23
1,16500,23
1,16600,23
1,16700,23
1,16800,23
1,16900,23
1,17000,23
1,17100,23
1,17200,22
1,17300,22
1,17400,21
1,17500,21
1,17600,20
1,17700,20
1,17800,19
1,17900,19
1,18000,19
1,18100,19
1,18200,18
1,18300,18
1,18400,17
1,18500,17
1,18600,17
1,18700,17
1,18800,16
1,18900,16
1,19000,16
1,19100,16
1,19200,16
1,19300,16
1,19400,16
1,19500,15
1,19600,15
1,19700,15
1,19800,15
1,19900,15
1,20000,15
1,20100,15
1,20200,15
1,20300,15
1,20400,15
1,20500,15
1,20600,15
1,20700,15
1,20800,15
1,20900,15
1,21000,15
1,21100,15
1,21200,15
1,21300,15
1,21400,15
1,21500,15
1,21600,14
1,21700,14
1,21800,14
1,21900,14
1,22000,14
1,22100,13
1,22200,12
1,22300,12
1,22400,12
1,22500,12
1,22600,12
1,22700,12
1,22800,12
1,22900,12
1,23000,12
1,23100,12
1,23200,12
1,23300,12
1,23400,12
1,23500,11
1,23600,11
1,23700,11
1,23800,10
1,23900,10
1,24000,9
1,24100,9
1,24200,9
1,24300,9
1,24400,8
1,24500,8
1,24600,8
1,24700,8
1,24800,8
1,24900,8
1,25000,8
1,25100,8
1,25200,8
1,25300,8
1,25400,8
1,25500,8
1,25600,8
1,25700,8
1,25800,8
1,25900,8
1,26000,8
1,26100,8
1,26200,8
1,26300,8
1,26400,8
1,26500,7
1,26600,7
1,26700,7
1,26800,7
1,26900,7
1,27000,7
1,27100,7
1,27200,7
1,27300,7
1,27400,7
1,27500,7
1,27600,7
1,27700,7
1,27800,7
1,27900,7
1,28000,6
1,28100,6
1,28200,6
1,28300,6
1,28400,6
1,28500,6
1,28600,6
1,28700,6
1,28800,6
1,28900,6
1,29000,5
1,29100,5
1,29200,5
1,29300,4
1,29400,3
1,29500,3
1,29600,3
1,29700,3
1,29800,3
1,29900,3
1,30000,3
1,30100,3
1,30200,3
1,30300,3
1,30400,3
1,30500,3
1,30600,3
1,30700,3
1,30800,3
1,30900,3
1,31000,2
1,31100,2
1,31200,2
1,31300,2
1,31400,2
1,31500,2
1,31527,0
2,100,100
2,200,100
2,300,100
2,400,100
2,500,100
2,600,98
2,700,98
2,800,98
2,900,97
2,1000,93
2,1100,93
2,1200,93
2,1300,93
2,1400,91
2,1500,91
2,1600,90
2,1700,90
2,1800,89
2,1900,89
2,2000,89
2,2100,88
2,2200,88
2,2300,86
2,2400,85
2,2500,85
2,2600,85
2,2700,85
2,2800,85
2,2900,85
2,3000,85
2,3100,85
2,3200,84
2,3300,83
2,3400,83
2,3500,82
2,3600,79
2,3700,79
2,3800,78
2,3900,76
2,4000,72
2,4100,72
2,4200,72
2,4300,72
2,4400,72
2,4500,72
2,4600,71
2,4700,70
2,4800,70
2,4900,68
2,5000,67
2,5100,66
2,5200,65
