run,after_nr_steps,remaining_food
1,100,64
1,200,48
1,300,36
1,400,22
1,500,16
1,600,13
1,700,9
1,800,4
1,899,0
2,100,64
2,200,53
2,300,38
2,400,26
2,500,22
2,600,20
2,700,17
2,800,15
2,900,14
2,1000,11
2,1100,10
2,1200,8
2,1300,8
2,1400,7
2,1500,5
2,1600,3
2,1700,3
2,1800,3
2,1900,2
2,2000,2
2,2100,2
2,2200,2
2,2300,2
2,2400,1
2,2500,1
2,2583,0
3,100,68
3,200,51
3,300,35
3,400,24
3,500,16
3,600,10
3,700,6
3,800,4
3,900,2
3,941,0
4,100,66
4,200,50
4,300,39
4,400,39
4,500,31
4,600,23
4,700,16
4,800,13
4,900,6
4,987,0
5,100,74
5,200,55
5,300,40
5,400,28
5,500,21
5,600,12
5,700,10
5,800,6
5,900,6
5,1000,5
5,1086,0
6,100,69
6,200,61
6,300,47
6,400,35
6,500,26
6,600,24
6,700,19
6,800,6
6,900,2
6,1000,2
6,1100,1
6,1200,1
6,1300,1
6,1400,1
6,1433,0
7,100,80
7,200,65
7,300,46
7,400,35
7,500,26
7,600,22
7,700,15
7,800,12
7,900,8
7,1000,6
7,1100,6
7,1200,5
7,1300,4
7,1363,0
8,100,76
8,200,57
8,300,46
8,400,37
8,500,31
8,600,26
8,700,16
8,800,9
8,900,4
8,1000,4
8,1100,4
8,1200,1
8,1202,0
9,100,79
9,200,60
9,300,43
9,400,32
9,500,24
9,600,15
9,700,7
9,800,5
9,900,3
9,1000,3
9,1100,3
9,1145,0
10,100,74
10,200,48
10,300,37
10,400,26
10,500,17
10,600,7
10,700,5
10,800,2
10,900,1
10,917,0
11,100,67
11,200,52
11,300,32
11,400,15
11,500,10
11,600,7
11,700,4
11,800,4
11,862,0
12,100,54
12,200,32
12,300,20
12,400,12
12,500,9
12,600,5
12,700,3
12,800,3
12,843,0
13,100,77
13,200,65
13,300,48
13,400,37
13,500,25
13,600,14
13,700,11
13,800,3
13,848,0
14,100,74
14,200,64
14,300,54
14,400,42
14,500,40
14,600,31
14,700,22
14,800,18
14,900,13
14,1000,9
14,1100,8
14,1200,6
14,1300,5
14,1400,1
14,1419,0
15,100,61
15,200,47
15,300,34
15,400,20
15,500,11
15,600,11
15,700,10
15,800,10
15,900,9
15,1000,7
15,1100,6
15,1200,6
15,1300,6
15,1400,6
15,1500,4
15,1600,4
15,1700,4
15,1800,4
15,1900,2
15,1927,0
16,100,77
16,200,58
16,300,43
16,400,29
16,500,18
16,600,10
16,700,8
16,800,7
16,900,3
16,1000,3
16,1100,3
16,1200,1
16,1300,1
16,1400,1
16,1476,0
17,100,81
17,200,62
17,300,50
17,400,36
17,500,18
17,600,10
17,700,6
17,800,3
17,900,2
17,923,0
18,100,68
18,200,52
18,300,40
18,400,35
18,500,26
18,600,13
18,700,4
18,800,2
18,824,0
19,100,73
19,200,50
19,300,42
19,400,27
19,500,21
19,600,14
19,700,10
19,800,4
19,900,2
19,943,0
20,100,84
