run,total_steps
1,31527
2,16636
3,41388
4,14494
5,13424
6,29767
7,18484
8,30348
9,37747
10,28810
11,21797
12,15665
13,22085
14,29540
15,25887
16,25812
17,37555
18,17789
19,24924
20,23655
21,15859
22,13032
23,21356
24,45945
25,31039
26,26746
27,18929
28,15445
29,19008
30,20793
31,22491
32,13470
33,42928
34,18706
35,39424
36,36585
37,38685
38,25248
39,19483
40,23292
41,40285
42,24819
43,27729
44,15678
45,16398
46,31694
47,27218
48,28748
49,20469
50,21242
51,33574
52,24237
53,32608
54,19564
55,19467
56,52384
57,27910
58,35375
59,23299
60,48930
61,22864
62,23991
63,22494
64,22788
65,26253
66,16881
67,25390
68,18101
69,20069
70,35376
71,20677
72,36624
73,25272
74,25072
75,22798
76,38614
77,19748
78,37365
79,18559
80,23194
81,29763
82,19575
83,11295
84,25961
85,30271
86,25329
87,35334
88,33406
89,30130
90,33770
91,23768
92,23381
93,20484
94,18716
95,24802
96,26002
97,23521
98,17930
99,26199
100,26876
101,27924
102,24942
103,22735
104,23819
105,23140
106,24815
107,29645
108,21443
109,34153
110,22877
111,20921
112,11759
113,30033
114,32062
115,12266
116,17144
117,21825
118,12899
119,18243
120,20106
121,24795
122,16014
123,24022
124,34862
125,21836
126,25839
127,32501
128,23337
129,30938
130,24155
131,28746
132,17960
133,26059
134,23076
135,46870
136,17442
137,24577
138,17088
139,18688
140,15966
141,31157
142,12828
143,19623
144,39538
145,51597
146,15259
147,27323
148,46510
149,45374
150,22118
151,18120
152,21221
153,22486
154,23357
155,28960
156,38724
157,26244
158,35230
159,21332
160,55505
161,34051
162,21879
163,27978
164,26415
165,22714
166,17692
167,18494
168,23231
169,19500
170,21230
171,33289
172,20855
173,24370
174,25872
175,17714
176,26181
177,22422
178,15992
179,18756
180,32907
181,28427
182,19304
183,22122
184,25494
185,23656
186,18193
187,21244
188,35594
189,36238
190,27031
191,15231
192,31033
193,34065
194,24831
195,23032
196,24204
197,19968
198,46652
199,18175
200,31147
201,18833
202,24681
203,27289
204,16215
205,26063
206,32360
207,22682
208,44247
209,18623
210,26808
211,17951
212,30077
213,25105
214,21460
215,17197
216,20498
217,19233
218,17771
219,30023
220,21069
221,18688
222,25065
223,36430
224,17976
225,24645
226,18654
227,26675
228,20766
229,29976
230,19696
231,37442
232,26315
233,28169
234,26045
235,39751
236,18930
237,38454
238,24631
239,16428
240,16031
241,22106
242,22181
243,33156
244,27474
245,19265
246,30973
247,50645
248,18134
249,21143
250,30190
251,21162
252,16282
253,23444
254,23860
255,37279
256,10852
257,22106
258,18754
259,28808
260,22579
261,17797
262,23973
263,18413
264,16433
265,41396
266,11487
267,21326
268,20726
269,14655
270,27885
271,34266
272,14788
273,25903
274,15577
275,36684
276,21007
277,28839
278,21082
279,22963
280,22943
281,15283
282,28418
283,19148
284,22380
285,23645
286,24412
287,28184
288,19083
289,28889
290,24486
291,43044
292,22174
293,34094
294,15273
295,24971
296,19203
297,25643
298,23357
299,30308
300,26015
301,27755
302,23599
303,22638
304,21446
305,32279
306,19945
307,28981
308,37052
309,26190
310,25237
311,26514
312,17937
313,20552
314,17667
315,28849
316,19968
317,25968
318,32732
319,32313
320,20141
321,12887
322,19861
323,25648
324,15700
325,20330
326,25447
327,21138
328,27868
329,17391
330,22708
331,25679
332,28621
333,33043
334,45396
335,24157
336,41940
337,24250
338,25276
339,23294
340,24981
341,19534
342,27369
343,31944
344,18662
345,19661
346,27009
347,17488
348,45031
349,19632
350,22155
351,23500
352,23605
353,16889
354,20289
355,15190
356,17655
357,27693
358,23136
359,32150
360,19568
361,25605
362,25453
363,18325
364,24272
365,14929
366,45364
367,29417
368,25612
369,20189
370,16880
371,13345
372,14945
373,21039
374,41997
375,33909
376,25286
377,15958
378,18022
379,14254
380,32129
381,19281
382,21736
383,23883
384,26022
385,20960
386,18186
387,18796
388,18677
389,30849
390,27786
391,12581
392,25506
393,26263
394,27499
395,21384
396,20502
397,30886
398,26066
399,12620
400,41559
401,21379
402,16446
403,36596
404,22037
405,37266
406,23386
407,17244
408,27383
409,25574
410,15325
411,34407
412,22854
413,15893
414,27070
415,34022
416,20917
417,27756
418,26601
419,34443
420,39513
421,20329
422,19101
423,21247
424,35454
425,35953
426,22820
427,30234
428,18101
429,29166
430,28044
431,25275
432,21528
433,22203
434,13707
435,29345
436,15046
437,33032
438,16522
439,21951
440,31858
441,15185
442,32419
443,28292
444,23750
445,17788
446,16806
447,22280
448,29895
449,28918
450,18418
451,18798
452,24065
453,60386
454,20231
455,27908
456,37730
457,36399
458,24204
459,23767
460,18023
461,39359
462,23715
463,34079
464,16604
465,32309
466,24776
467,28463
468,23491
469,36033
470,43464
471,42374
