run,total_steps
1,1028
2,952
3,2012
4,1774
5,1464
6,1472
7,1471
8,1371
9,2744
10,1383
11,1270
12,1059
13,2396
14,1050
15,1166
16,1779
17,1544
18,2524
19,1253
20,1569
21,867
22,1002
23,1468
24,1207
25,1378
26,1242
27,1885
28,1105
29,1146
30,2282
31,1170
32,1188
33,1127
34,1318
35,1982
36,1134
37,1034
38,1764
39,1411
40,1204
41,1772
42,1140
43,857
44,1572
45,1026
46,1202
47,1979
48,2304
49,1432
50,1858
51,974
52,1149
53,1094
54,2264
55,773
56,994
57,1327
58,1155
59,1222
60,1460
61,1357
62,1354
63,2078
64,1358
65,1329
66,1613
67,1272
68,879
69,1375
70,1763
71,1734
72,1827
73,985
74,1675
75,885
76,1173
77,1448
78,1603
79,1270
80,800
81,1337
82,1588
83,1627
84,1429
85,1687
86,679
87,2630
88,1998
89,1206
90,1126
91,1591
92,1578
93,1351
94,768
95,1331
96,2113
97,1175
98,1100
99,1695
100,955
101,1069
102,1396
103,1216
104,1065
105,1493
106,1354
107,1851
108,1028
109,954
110,917
111,2235
112,1555
113,1170
114,2558
115,1287
116,1188
117,2564
118,895
119,2749
120,1305
121,1426
122,1453
123,1328
124,985
125,1617
126,1513
127,1840
128,1285
129,1150
130,2135
131,1784
132,1613
133,1963
134,2565
135,1826
136,1699
137,1418
138,948
139,1376
140,951
141,1473
142,1416
143,1817
144,981
145,2634
146,1060
147,1061
148,1514
149,1011
150,1186
151,2127
152,1088
153,1832
154,900
155,1446
156,2021
157,1591
158,1426
159,1466
160,2068
161,1212
162,816
163,1191
164,1117
165,1186
166,1221
167,2283
168,1304
169,1225
170,1047
171,1352
172,1892
173,1888
174,1376
175,1517
176,1340
177,956
178,1890
179,1080
180,1710
181,1592
182,1652
183,1291
184,1315
185,1582
186,991
187,1923
188,1276
189,1073
190,1331
191,1003
192,2671
193,1137
194,1213
195,1505
196,1293
197,1712
198,2030
199,1007
200,1296
201,1553
202,1141
203,1014
204,2444
205,1248
206,2084
207,964
208,1263
209,1568
210,1092
211,1849
212,1892
213,1978
214,1258
215,1841
216,1314
217,1120
218,1890
219,1910
220,1633
221,1312
222,1256
223,1550
224,1691
225,1773
226,1383
227,994
228,921
229,797
230,2926
231,1111
232,2000
233,1922
234,1643
235,810
236,1549
237,1104
238,1138
239,1278
240,815
241,1690
242,1525
243,1922
244,1658
245,1353
246,1878
247,2636
248,3502
249,1452
250,1275
251,1518
252,1727
253,1503
254,1116
255,1389
256,1377
257,1330
258,1191
259,1510
260,1253
261,1459
262,2047
263,1159
264,1354
265,722
266,1515
267,1312
268,1917
269,945
270,978
271,1674
272,1539
273,2246
274,955
