run,total_steps
1,899
2,2583
3,941
4,987
5,1086
6,1433
7,1363
8,1202
9,1145
10,917
11,862
12,843
13,848
14,1419
15,1927
16,1476
17,923
18,824
19,943
20,892
21,1148
22,750
23,944
24,805
25,1083
26,956
27,1318
28,892
29,725
30,1027
31,948
32,1294
33,1538
34,1516
35,1172
36,1231
37,1405
38,1018
39,1156
40,546
41,945
42,1746
43,1052
44,787
45,764
46,1527
47,1170
48,966
49,742
50,1461
51,1079
52,762
53,754
54,986
55,793
56,919
57,807
58,1050
59,1003
60,1176
61,943
62,1179
63,2368
64,1047
65,1905
66,915
67,1085
68,1247
69,707
70,1257
71,1789
72,1171
73,1553
74,1389
75,1037
76,1345
77,875
78,1013
79,769
80,1099
81,1040
82,1114
83,1440
84,719
85,1546
86,1025
87,879
88,907
89,750
90,979
91,892
92,1130
93,1099
94,949
95,944
96,961
97,2000
98,1247
99,854
100,848
101,1336
102,1119
103,1045
104,630
105,1133
106,1049
107,1162
108,1418
109,725
110,867
111,1594
112,693
113,1326
114,774
115,876
116,1229
117,1411
118,1270
119,1476
120,898
121,1283
122,861
123,1370
124,1318
125,789
126,851
127,1372
128,1009
129,1040
130,1433
131,1632
132,1002
133,1428
134,992
135,878
136,1268
137,1219
138,925
139,811
140,1344
141,767
142,1321
143,889
144,676
145,883
146,900
147,1451
148,848
149,1182
150,867
151,747
152,1021
153,1486
154,972
155,1341
156,1574
157,1369
158,1419
159,855
160,914
161,1339
162,1255
163,1304
164,1108
165,1676
166,1846
167,1390
168,1135
169,759
170,1215
171,876
172,829
173,763
174,1959
175,834
176,908
177,710
178,717
179,900
180,1218
181,760
182,1042
183,1563
184,1079
185,1055
186,1790
187,927
188,802
189,1115
190,766
191,694
192,1089
193,1445
194,1033
195,958
196,919
197,764
198,739
199,1147
200,934
201,1125
202,1400
203,785
204,800
205,956
206,916
207,936
208,1930
209,913
210,1057
211,1137
212,889
213,1501
214,848
215,1376
216,1172
217,889
218,669
219,934
220,1328
221,1327
222,1202
223,1290
224,1270
225,1307
226,1025
227,832
228,843
229,1925
230,1226
231,963
232,1199
233,900
234,1089
235,877
236,1431
237,1231
238,1020
239,1065
240,1029
241,1200
242,905
243,1589
244,1106
245,786
246,765
247,1108
248,1025
249,1197
250,1315
251,1022
252,1004
253,915
254,1294
255,975
256,1361
257,973
258,869
259,1451
260,1143
261,868
262,1356
263,1008
264,939
265,703
266,1096
267,812
268,912
269,1550
270,1312
271,868
272,1307
273,843
274,1778
275,1045
276,1458
277,1142
278,1331
279,1011
280,1548
281,1212
282,1023
283,966
284,1669
285,1019
286,1656
287,1039
288,1084
289,933
290,1165
291,1359
292,1127
293,680
294,1152
295,1608
296,1107
297,1123
298,785
299,1008
300,744
301,1030
302,752
303,1646
304,856
305,768
306,768
307,1050
308,596
309,1010
310,1015
311,1469
312,888
313,1412
314,935
315,850
316,1324
317,1411
318,1884
319,1989
320,940
321,1148
322,812
323,1189
324,1423
325,873
326,1848
327,1284
328,1019
329,1490
330,822
331,775
332,911
333,881
334,1120
335,895
336,1083
337,686
338,786
339,854
340,1096
341,1060
342,1583
343,978
344,1020
345,897
346,953
347,1800
348,1435
349,1265
350,1141
351,1311
352,1573
353,1242
354,1602
355,789
356,946
357,1223
358,1812
359,1650
360,901
361,990
362,818
363,870
364,1081
365,886
366,947
367,1227
368,1384
369,967
370,1281
371,1207
372,1249
373,1004
374,914
375,1607
376,833
377,865
378,985
379,1049
380,1060
381,1089
382,1144
383,787
384,2088
385,961
386,1409
387,1381
388,989
389,895
390,1009
391,973
392,957
393,955
394,1475
395,1083
396,933
397,1260
398,984
399,1184
400,888
401,1064
402,1322
403,1322
404,1289
405,933
406,661
407,1331
408,1205
409,1299
410,816
411,665
412,1194
413,893
414,1092
415,828
416,1346
417,1168
418,1206
419,1371
420,1354
421,812
422,1106
423,1352
424,1104
425,1150
426,934
427,921
428,696
429,978
430,784
431,1498
432,1161
433,1252
434,1268
435,1508
436,790
437,677
438,785
439,888
440,1339
441,1140
442,779
443,1078
444,933
445,863
446,1258
447,1091
448,1404
449,1177
450,882
451,1098
452,961
453,1002
454,1255
455,1027
456,929
457,1079
458,1558
459,1155
460,1031
461,1153
462,1068
463,910
464,1519
465,1074
466,1094
467,1166
468,1022
469,1527
470,1080
471,1898
472,765
473,948
474,837
475,875
476,861
477,1060
478,1788
479,1010
480,1017
481,1700
482,1032
483,706
484,964
485,1638
486,1145
487,786
488,1182
489,821
490,1116
491,1202
492,1131
493,1310
494,873
495,1168
496,1007
497,946
498,710
499,1001
500,1193
501,1541
502,1115
503,1174
504,1331
505,1448
506,1043
507,1931
508,913
509,1180
510,982
511,1579
512,1102
513,1070
514,1039
515,1082
516,945
517,1124
518,1401
519,1108
520,1907
521,1333
522,767
523,1529
524,733
525,1479
526,907
527,1984
528,1584
529,637
530,1724
531,625
532,1217
533,1754
534,1246
535,1272
536,901
537,899
538,1070
539,747
540,765
541,1303
542,754
543,1076
544,2356
545,1022
546,879
547,1355
548,1060
549,1603
550,1122
551,899
552,1102
553,1251
554,924
555,1428
556,1383
557,1388
558,877
559,1102
560,919
561,934
562,1253
563,911
564,1776
565,1008
566,1462
567,1212
568,1099
569,1024
570,984
571,900
572,903
573,832
574,1227
575,662
576,1173
577,1013
578,844
579,781
580,716
581,1058
582,1078
583,758
584,1108
585,1023
586,1452
587,868
588,1017
589,812
590,1217
591,1188
592,1209
593,767
594,866
595,1006
596,1011
597,1111
598,802
599,1520
600,1155
601,1262
602,984
603,2524
604,1280
605,1315
606,870
607,1081
608,973
609,1189
610,1090
611,850
612,1330
613,1030
614,1325
615,940
616,1152
617,1389
618,745
619,1890
620,951
621,946
622,1118
623,913
624,1430
625,1498
626,910
627,1290
628,809
629,898
630,1732
631,2077
632,758
633,1402
634,1031
635,806
636,1166
637,599
638,1026
639,1181
640,786
641,1162
642,917
643,732
644,1077
645,952
646,538
647,1080
648,946
649,1040
650,1079
651,802
652,1069
653,793
654,892
655,1583
656,1336
657,1290
658,795
659,1134
660,868
661,1142
662,819
663,932
664,1285
665,1178
666,938
667,943
668,1359
669,1168
670,1327
671,994
672,924
673,1273
674,976
675,1289
676,1113
677,794
678,970
679,1089
680,1301
681,1301
682,980
683,1019
684,1533
685,1392
686,1405
687,1115
688,661
689,806
690,786
691,2055
692,1110
693,581
694,881
695,1066
696,1140
697,711
698,952
699,1102
700,1196
701,999
702,843
703,1267
704,1187
705,850
706,1239
707,1071
708,1520
709,1132
710,894
711,1102
712,1925
713,1034
714,786
715,1527
716,1018
717,1277
718,835
719,757
720,1274
721,1590
722,850
723,1008
724,779
725,811
