run,after_nr_steps,remaining_food
1,100,77
1,200,62
1,300,48
1,400,35
1,500,25
1,600,15
1,700,10
1,800,5
1,900,5
1,1000,2
1,1028,0
2,100,69
2,200,55
2,300,38
2,400,23
2,500,14
2,600,9
2,700,6
2,800,2
2,900,1
2,952,0
3,100,69
3,200,54
3,300,45
3,400,31
3,500,26
3,600,20
3,700,10
3,800,6
3,900,4
3,1000,3
3,1100,3
3,1200,3
3,1300,3
3,1400,3
3,1500,3
3,1600,3
3,1700,2
3,1800,2
3,1900,2
3,2000,1
3,2012,0
4,100,78
4,200,60
4,300,51
4,400,45
4,500,42
4,600,37
4,700,34
4,800,27
4,900,20
4,1000,15
4,1100,12
4,1200,12
4,1300,10
4,1400,10
4,1500,8
4,1600,5
4,1700,3
4,1774,0
5,100,65
5,200,50
5,300,33
5,400,27
5,500,19
5,600,14
5,700,9
5,800,5
5,900,4
5,1000,3
5,1100,3
5,1200,2
5,1300,1
5,1400,1
5,1464,0
6,100,70
6,200,53
6,300,47
6,400,33
6,500,29
6,600,18
6,700,14
6,800,13
6,900,10
6,1000,8
6,1100,4
6,1200,3
6,1300,2
6,1400,2
6,1472,0
7,100,64
7,200,51
7,300,41
7,400,31
7,500,22
7,600,11
7,700,8
7,800,5
7,900,2
7,1000,1
7,1100,1
7,1200,1
7,1300,1
7,1400,1
7,1471,0
8,100,69
8,200,53
8,300,34
8,400,28
8,500,22
8,600,15
8,700,11
8,800,7
8,900,6
8,1000,5
8,1100,4
8,1200,3
8,1300,2
8,1371,0
9,100,69
9,200,48
9,300,38
9,400,32
9,500,24
9,600,17
9,700,13
9,800,12
9,900,12
9,1000,9
9,1100,8
9,1200,6
9,1300,6
9,1400,6
9,1500,6
9,1600,6
9,1700,5
9,1800,5
9,1900,5
9,2000,4
9,2100,4
9,2200,4
9,2300,2
9,2400,1
9,2500,1
9,2600,1
9,2700,1
9,2744,0
10,100,70
10,200,55
10,300,41
10,400,34
10,500,28
10,600,19
10,700,16
10,800,12
10,900,11
10,1000,10
10,1100,7
10,1200,4
10,1300,4
10,1383,0
11,100,76
11,200,60
11,300,42
11,400,29
11,500,20
11,600,18
11,700,13
11,800,7
11,900,7
11,1000,5
11,1100,4
11,1200,1
11,1270,0
12,100,65
12,200,49
12,300,36
12,400,30
12,500,20
12,600,15
12,700,11
12,800,4
12,900,3
12,1000,2
12,1059,0
13,100,68
13,200,50
13,300,31
13,400,24
13,500,19
13,600,13
13,700,9
13,800,6
13,900,5
13,1000,4
13,1100,3
13,1200,3
13,1300,3
13,1400,3
13,1500,2
13,1600,1
13,1700,1
13,1800,1
13,1900,1
13,2000,1
13,2100,1
13,2200,1
13,2300,1
13,2396,0
14,100,70
14,200,55
14,300,36
14,400,25
14,500,19
14,600,13
14,700,7
14,800,4
14,900,3
14,1000,2
14,1050,0
15,100,67
15,200,44
15,300,30
15,400,24
15,500,20
15,600,14
15,700,12
15,800,9
15,900,7
15,1000,4
15,1100,2
15,1166,0
16,100,58
16,200,46
16,300,35
16,400,28
16,500,20
16,600,16
16,700,11
16,800,9
16,900,7
16,1000,7
16,1100,5
16,1200,4
16,1300,4
16,1400,4
16,1500,2
16,1600,1
16,1700,1
16,1779,0
17,100,76
17,200,59
17,300,45
17,400,35
17,500,29
17,600,17
17,700,13
17,800,10
17,900,7
17,1000,5
17,1100,4
17,1200,2
17,1300,2
17,1400,2
17,1500,1
17,1544,0
18,100,75
18,200,61
18,300,50
18,400,44
18,500,35
18,600,31
18,700,24
18,800,19
18,900,16
18,1000,15
18,1100,14
18,1200,11
18,1300,11
18,1400,11
18,1500,10
18,1600,10
18,1700,8
18,1800,7
18,1900,6
18,2000,6
18,2100,5
18,2200,4
18,2300,3
18,2400,3
18,2500,2
18,2524,0
19,100,67
19,200,52
19,300,42
19,400,35
19,500,27
19,600,20
19,700,17
19,800,12
19,900,8
19,1000,7
19,1100,4
19,1200,3
19,1253,0
20,100,81
20,200,60
20,300,39
20,400,31
20,500,23
20,600,16
20,700,12
20,800,10
20,900,9
20,1000,7
20,1100,6
20,1200,6
20,1300,3
20,1400,3
20,1500,1
20,1569,0
21,100,75
21,200,49
21,300,34
21,400,20
21,500,10
21,600,4
21,700,2
21,800,1
21,867,0
22,100,65
22,200,48
22,300,38
22,400,22
22,500,17
22,600,12
22,700,7
22,800,3
22,900,2
22,1000,1
22,1002,0
23,100,66
23,200,49
23,300,31
23,400,22
23,500,16
23,600,10
23,700,8
23,800,6
23,900,5
23,1000,4
23,1100,4
23,1200,3
23,1300,2
23,1400,1
23,1468,0
24,100,77
24,200,60
24,300,49
24,400,35
24,500,29
24,600,25
24,700,19
24,800,14
24,900,10
24,1000,5
24,1100,3
24,1200,1
24,1207,0
25,100,81
25,200,63
25,300,50
25,400,36
25,500,26
25,600,19
25,700,14
25,800,11
25,900,9
25,1000,7
25,1100,3
25,1200,3
25,1300,2
25,1378,0
26,100,69
26,200,44
26,300,29
26,400,17
26,500,13
26,600,10
26,700,7
26,800,6
26,900,4
26,1000,4
26,1100,2
26,1200,2
26,1242,0
27,100,73
27,200,56
27,300,43
27,400,35
27,500,30
27,600,23
27,700,14
27,800,10
27,900,8
27,1000,7
27,1100,5
27,1200,4
27,1300,1
27,1400,1
27,1500,1
27,1600,1
27,1700,1
27,1800,1
27,1885,0
28,100,71
28,200,54
28,300,41
28,400,31
28,500,23
28,600,13
28,700,6
28,800,6
28,900,3
28,1000,2
28,1100,1
28,1105,0
29,100,66
29,200,51
29,300,40
29,400,30
29,500,25
29,600,14
29,700,10
29,800,7
29,900,5
29,1000,4
29,1100,2
29,1146,0
30,100,77
30,200,56
30,300,45
30,400,34
30,500,25
30,600,21
30,700,16
30,800,13
30,900,12
30,1000,9
30,1100,9
30,1200,8
30,1300,8
30,1400,8
30,1500,7
30,1600,4
30,1700,4
30,1800,3
30,1900,3
30,2000,2
30,2100,1
30,2200,1
30,2282,0
31,100,69
31,200,47
31,300,37
31,400,25
31,500,19
31,600,14
31,700,9
31,800,6
31,900,4
31,1000,2
31,1100,1
31,1170,0
32,100,68
32,200,60
32,300,45
32,400,35
32,500,23
32,600,15
32,700,11
32,800,5
32,900,2
32,1000,2
32,1100,1
32,1188,0
33,100,82
33,200,61
33,300,42
33,400,30
33,500,19
33,600,11
33,700,7
33,800,6
33,900,4
33,1000,3
33,1100,1
33,1127,0
34,100,63
34,200,48
34,300,34
34,400,24
34,500,14
34,600,10
34,700,10
34,800,9
34,900,4
34,1000,2
34,1100,2
34,1200,2
34,1300,1
34,1318,0
35,100,76
35,200,62
35,300,53
35,400,47
35,500,34
35,600,28
35,700,24
35,800,21
35,900,19
35,1000,15
35,1100,12
35,1200,7
35,1300,5
35,1400,5
35,1500,5
35,1600,4
35,1700,2
35,1800,2
35,1900,1
35,1982,0
36,100,66
36,200,53
36,300,45
36,400,36
36,500,31
36,600,19
36,700,14
36,800,9
36,900,5
36,1000,3
36,1100,1
36,1134,0
37,100,86
37,200,66
37,300,51
37,400,40
37,500,31
37,600,22
37,700,17
37,800,8
37,900,4
37,1000,3
37,1034,0
38,100,68
38,200,56
38,300,41
38,400,29
38,500,23
38,600,20
38,700,19
38,800,16
38,900,13
38,1000,11
38,1100,9
38,1200,5
38,1300,4
38,1400,4
38,1500,4
38,1600,3
38,1700,2
38,1764,0
39,100,66
39,200,47
39,300,34
39,400,27
39,500,20
39,600,15
39,700,10
39,800,6
39,900,4
39,1000,4
39,1100,3
39,1200,2
39,1300,2
39,1400,1
39,1411,0
40,100,64
40,200,43
40,300,27
40,400,16
40,500,12
40,600,11
40,700,8
40,800,6
40,900,4
40,1000,4
40,1100,3
40,1200,1
40,1204,0
41,100,64
41,200,49
41,300,34
41,400,29
41,500,22
41,600,16
41,700,10
41,800,9
41,900,5
41,1000,3
41,1100,3
41,1200,3
41,1300,3
41,1400,3
41,1500,1
41,1600,1
41,1700,1
41,1772,0
42,100,67
42,200,48
42,300,32
42,400,23
42,500,19
42,600,17
42,700,13
42,800,10
42,900,9
42,1000,5
42,1100,2
42,1140,0
43,100,74
43,200,52
43,300,43
43,400,29
43,500,21
43,600,13
43,700,2
43,800,1
43,857,0
44,100,60
44,200,44
44,300,29
44,400,22
44,500,18
44,600,12
44,700,7
44,800,4
44,900,4
44,1000,4
44,1100,3
44,1200,3
44,1300,2
44,1400,2
44,1500,2
44,1572,0
45,100,67
45,200,56
45,300,41
45,400,26
45,500,15
45,600,8
45,700,6
45,800,3
45,900,2
45,1000,2
45,1026,0
46,100,77
46,200,61
46,300,45
46,400,33
46,500,29
46,600,22
46,700,15
46,800,10
46,900,3
46,1000,2
46,1100,1
46,1200,1
46,1202,0
47,100,78
47,200,62
47,300,47
47,400,40
47,500,32
47,600,24
47,700,22
47,800,19
47,900,17
47,1000,13
47,1100,11
47,1200,10
47,1300,7
47,1400,5
47,1500,4
47,1600,2
47,1700,1
47,1800,1
47,1900,1
47,1979,0
48,100,76
48,200,56
48,300,37
48,400,26
48,500,18
48,600,13
48,700,13
48,800,9
48,900,8
48,1000,8
48,1100,8
48,1200,6
48,1300,5
48,1400,5
48,1500,5
48,1600,3
48,1700,3
48,1800,3
48,1900,2
48,2000,1
48,2100,1
48,2200,1
48,2300,1
48,2304,0
49,100,64
49,200,47
49,300,34
49,400,26
49,500,21
49,600,18
49,700,17
49,800,15
49,900,13
49,1000,11
49,1100,9
49,1200,3
49,1300,1
49,1400,1
49,1432,0
50,100,61
50,200,47
50,300,33
50,400,26
50,500,21
50,600,14
50,700,11
50,800,9
50,900,9
50,1000,6
50,1100,4
50,1200,4
50,1300,4
50,1400,3
50,1500,3
50,1600,2
50,1700,2
50,1800,2
50,1858,0
51,100,80
51,200,61
51,300,44
51,400,32
51,500,22
51,600,14
51,700,8
51,800,5
51,900,2
51,974,0
52,100,72
52,200,51
52,300,38
52,400,23
52,500,14
52,600,9
52,700,4
52,800,1
52,900,1
52,1000,1
52,1100,1
52,1149,0
53,100,62
53,200,44
53,300,33
53,400,25
53,500,18
53,600,14
53,700,9
53,800,5
53,900,3
53,1000,1
53,1094,0
54,100,68
54,200,52
54,300,41
54,400,31
54,500,29
54,600,25
54,700,22
54,800,19
54,900,16
54,1000,16
54,1100,15
54,1200,12
54,1300,12
54,1400,12
54,1500,12
54,1600,12
54,1700,11
54,1800,11
54,1900,10
54,2000,9
54,2100,6
54,2200,4
54,2264,0
55,100,64
55,200,45
55,300,33
55,400,24
55,500,17
55,600,7
55,700,4
55,773,0
56,100,69
56,200,52
56,300,39
56,400,23
56,500,19
56,600,14
56,700,8
56,800,7
56,900,2
56,994,0
57,100,77
57,200,63
57,300,51
57,400,36
57,500,26
57,600,16
57,700,14
57,800,10
57,900,8
57,1000,6
57,1100,4
57,1200,3
57,1300,2
57,1327,0
58,100,72
58,200,57
58,300,41
58,400,28
58,500,17
58,600,14
58,700,11
58,800,7
58,900,4
58,1000,2
58,1100,1
58,1155,0
59,100,78
59,200,58
59,300,42
59,400,34
59,500,25
59,600,22
59,700,17
59,800,14
59,900,9
59,1000,6
59,1100,4
59,1200,1
59,1222,0
60,100,73
60,200,52
60,300,41
60,400,35
60,500,26
60,600,20
60,700,16
60,800,12
60,900,8
60,1000,7
60,1100,5
60,1200,2
60,1300,2
60,1400,1
60,1460,0
61,100,72
61,200,50
61,300,38
61,400,30
61,500,21
61,600,15
61,700,11
61,800,7
61,900,4
61,1000,4
61,1100,2
61,1200,1
61,1300,1
61,1357,0
62,100,70
62,200,52
62,300,41
62,400,33
62,500,28
62,600,22
62,700,21
62,800,16
62,900,13
62,1000,11
62,1100,7
62,1200,5
62,1300,1
62,1354,0
63,100,65
63,200,48
63,300,41
63,400,35
63,500,34
63,600,31
63,700,29
63,800,26
63,900,24
63,1000,22
63,1100,19
63,1200,17
63,1300,13
63,1400,12
63,1500,9
63,1600,6
63,1700,6
63,1800,3
63,1900,2
63,2000,1
63,2078,0
64,100,62
64,200,41
64,300,31
64,400,25
64,500,19
64,600,12
64,700,7
64,800,5
64,900,4
64,1000,3
64,1100,1
64,1200,1
64,1300,1
64,1358,0
65,100,71
65,200,50
