run,after_nr_steps,remaining_food
1,100,78
1,200,55
1,300,41
1,400,31
1,500,16
1,600,3
1,644,0
2,100,84
2,200,61
2,300,40
2,400,31
2,500,19
2,600,13
2,700,11
2,800,11
2,900,10
2,1000,8
2,1100,8
2,1200,5
2,1300,4
2,1400,2
2,1500,1
2,1543,0
3,100,71
3,200,33
3,300,12
3,398,0
4,100,58
4,200,41
4,300,26
4,400,10
4,500,5
4,578,0
5,100,25
5,200,5
5,292,0
6,100,88
6,200,71
6,300,53
6,400,35
6,500,20
6,600,10
6,700,0
6,700,0
7,100,64
7,200,45
7,300,19
7,400,11
7,500,1
7,509,0
8,100,81
8,200,59
8,300,39
8,400,19
8,500,8
8,600,5
8,700,1
8,713,0
9,100,70
9,200,57
9,300,43
9,400,36
9,500,23
9,600,13
9,700,9
9,800,2
9,838,0
10,100,71
10,200,33
10,300,13
10,400,7
10,500,4
10,600,3
10,685,0
11,100,67
11,200,51
11,300,40
11,400,26
11,500,19
11,600,10
11,700,4
11,800,2
11,900,1
11,908,0
12,100,74
12,200,51
12,300,30
12,400,13
12,500,10
12,600,4
12,664,0
13,100,77
13,200,56
13,300,34
13,400,25
13,500,11
13,600,7
13,700,4
13,800,1
13,822,0
14,100,53
14,200,25
14,300,17
14,400,7
14,482,0
15,100,42
15,200,27
15,300,16
15,400,4
15,439,0
16,100,65
16,200,44
16,300,33
16,400,17
16,500,7
16,600,1
16,601,0
17,100,76
17,200,51
17,300,27
17,400,9
17,500,1
17,515,0
18,100,89
18,200,66
18,300,38
18,400,28
18,500,17
18,600,9
18,700,7
18,800,3
18,900,1
18,922,0
19,100,50
19,200,30
19,300,21
19,400,16
19,500,7
19,600,5
19,657,0
20,100,69
20,200,49
20,300,36
20,400,19
20,500,6
20,548,0
21,100,65
21,200,44
21,300,23
21,400,10
21,500,4
21,600,1
21,618,0
22,100,37
22,200,19
22,300,13
22,400,2
22,470,0
23,100,37
23,200,19
23,300,7
23,324,0
24,100,78
24,200,67
24,300,52
24,400,41
24,500,35
24,600,31
24,700,23
24,800,15
24,900,10
24,1000,8
24,1100,4
24,1200,2
24,1241,0
25,100,49
25,200,31
25,300,11
25,396,0
26,100,69
26,200,47
26,300,28
26,400,11
26,500,6
26,600,2
26,641,0
27,100,59
27,200,37
27,300,25
27,400,14
27,500,6
27,600,1
27,620,0
28,100,76
28,200,54
28,300,34
28,400,22
28,500,16
28,600,10
28,700,2
28,732,0
29,100,59
29,200,43
29,300,38
29,400,36
29,500,30
29,600,25
29,700,14
29,800,5
29,865,0
30,100,80
30,200,65
30,300,42
30,400,23
30,500,15
30,600,6
30,694,0
31,100,74
31,200,45
31,300,25
31,400,17
31,500,11
31,600,7
31,700,3
31,743,0
32,100,88
32,200,67
32,300,45
32,400,23
32,500,13
32,600,7
32,700,4
32,768,0
33,100,62
33,200,33
33,300,10
33,400,0
33,400,0
34,100,70
34,200,40
34,300,25
34,400,10
34,500,10
34,600,5
34,642,0
35,100,80
35,200,55
35,300,35
35,400,20
35,500,4
35,580,0
36,100,72
36,200,54
36,300,36
36,400,21
36,500,14
36,600,6
36,700,3
36,767,0
37,100,71
37,200,44
37,300,18
37,400,7
37,467,0
38,100,77
38,200,52
38,300,23
38,400,6
38,500,0
38,500,0
39,100,68
39,200,47
39,300,23
39,400,3
39,456,0
40,100,54
40,200,19
40,300,7
40,400,4
40,433,0
41,100,74
41,200,53
41,300,33
41,400,22
41,500,21
41,600,20
41,700,18
41,800,14
41,900,10
41,1000,6
41,1100,4
41,1125,0
42,100,73
42,200,53
42,300,31
42,400,14
42,500,2
42,600,1
42,637,0
43,100,76
43,200,58
43,300,34
43,400,20
43,500,11
43,600,10
43,700,8
43,800,4
43,900,1
43,910,0
44,100,57
44,200,36
44,300,21
44,400,11
44,500,7
44,589,0
45,100,83
45,200,65
45,300,51
45,400,24
45,500,17
45,600,5
45,670,0
46,100,69
46,200,45
46,300,22
46,400,17
46,500,15
46,600,13
46,700,7
46,800,5
46,900,1
46,997,0
47,100,42
47,200,31
47,300,18
47,400,5
47,455,0
48,100,68
48,200,46
48,300,11
48,392,0
49,100,60
49,200,33
49,300,22
49,400,18
49,500,15
49,600,14
49,700,12
49,800,10
49,900,9
49,1000,6
49,1100,1
49,1177,0
50,100,75
50,200,46
50,300,36
50,400,13
50,500,0
50,500,0
51,100,79
51,200,49
51,300,20
51,400,10
51,500,4
51,544,0
52,100,81
52,200,56
52,300,46
52,400,34
52,500,20
52,600,11
52,700,7
52,800,1
52,821,0
53,100,88
53,200,73
53,300,58
53,400,41
53,500,30
53,600,14
53,700,10
53,800,4
53,847,0
54,100,77
54,200,65
54,300,40
54,400,28
54,500,20
54,600,13
54,700,8
54,800,4
54,900,1
54,912,0
55,100,67
55,200,37
55,300,24
55,400,13
55,500,9
55,600,3
55,700,1
55,761,0
56,100,86
56,200,71
56,300,59
56,400,41
56,500,28
56,600,19
56,700,8
56,800,4
56,824,0
57,100,90
57,200,80
57,300,66
57,400,54
57,500,41
57,600,29
57,700,25
57,800,19
57,900,10
57,1000,2
57,1039,0
58,100,72
58,200,46
58,300,28
58,400,13
58,500,1
58,524,0
59,100,71
59,200,30
59,300,17
59,400,6
59,500,3
59,600,2
59,621,0
60,100,76
60,200,55
60,300,33
60,400,11
60,500,4
60,600,4
60,644,0
61,100,50
61,200,29
61,300,19
61,400,12
61,500,6
61,600,3
61,618,0
62,100,64
62,200,26
62,300,6
62,400,1
62,420,0
63,100,86
63,200,68
63,300,51
63,400,40
63,500,30
63,600,17
63,700,11
63,800,5
63,900,1
63,917,0
64,100,82
64,200,53
64,300,27
64,400,15
64,500,11
64,600,4
64,697,0
65,100,60
65,200,26
65,300,12
65,400,3
65,490,0
66,100,61
66,200,29
66,300,15
66,400,6
66,500,3
66,558,0
67,100,80
67,200,71
67,300,53
67,400,41
67,500,32
67,600,27
67,700,19
67,800,15
67,900,6
67,1000,2
67,1028,0
68,100,56
68,200,26
68,300,8
68,400,2
68,408,0
69,100,62
69,200,34
69,300,19
69,400,9
69,490,0
70,100,80
70,200,63
70,300,53
70,400,42
70,500,29
70,600,22
70,700,15
70,800,11
70,900,8
70,1000,2
70,1067,0
71,100,77
71,200,46
71,300,18
71,400,10
71,500,1
71,600,1
71,627,0
72,100,79
72,200,58
72,300,41
72,400,23
72,500,13
72,600,7
72,681,0
73,100,74
73,200,47
73,300,17
73,400,8
73,500,2
73,539,0
74,100,58
74,200,37
74,300,20
74,400,12
74,500,8
74,600,3
74,695,0
75,100,75
75,200,52
75,300,30
75,400,17
75,500,5
75,600,2
75,671,0
76,100,72
76,200,40
76,300,25
76,400,21
76,500,16
76,600,8
76,700,6
76,800,5
76,900,5
76,1000,3
76,1100,1
