run,after_nr_steps,remaining_food
1,100,87
1,200,73
1,300,60
1,400,37
1,500,23
1,600,13
1,700,13
1,800,12
1,900,9
1,1000,9
1,1100,7
1,1200,4
1,1300,2
1,1400,1
1,1441,0
2,100,91
2,200,71
2,300,48
2,400,31
2,500,31
2,600,28
2,700,24
2,800,13
2,900,10
2,1000,6
2,1100,2
2,1200,2
2,1243,0
3,100,77
3,200,53
3,300,46
3,400,41
3,500,29
3,600,25
3,700,22
3,800,18
3,900,13
3,1000,8
3,1100,3
3,1160,0
4,100,91
4,200,81
4,300,65
4,400,45
4,500,34
4,600,33
4,700,24
4,800,16
4,900,9
4,1000,6
4,1061,0
5,100,91
5,200,83
5,300,74
5,400,69
5,500,64
5,600,49
5,700,36
5,800,30
5,900,19
5,1000,11
5,1100,3
5,1129,0
6,100,91
6,200,79
6,300,65
6,400,51
6,500,37
6,600,33
6,700,32
6,800,22
6,900,15
6,1000,10
6,1100,5
6,1200,3
6,1300,3
6,1400,2
6,1500,1
6,1560,0
7,100,92
7,200,79
7,300,65
7,400,52
7,500,45
7,600,41
7,700,32
7,800,26
7,900,21
7,1000,15
7,1100,10
7,1200,8
7,1300,8
7,1400,3
7,1422,0
8,100,94
8,200,91
8,300,84
8,400,81
8,500,77
8,600,67
8,700,62
8,800,58
8,900,48
8,1000,40
8,1100,33
8,1200,30
8,1300,27
8,1400,25
8,1500,17
8,1600,10
8,1700,5
8,1800,5
8,1900,1
8,1904,0
9,100,99
9,200,85
9,300,70
9,400,60
9,500,49
9,600,47
9,700,42
9,800,38
9,900,29
9,1000,28
9,1100,27
9,1200,23
9,1300,19
9,1400,19
9,1500,14
9,1600,11
9,1700,8
9,1800,6
9,1900,2
9,2000,2
9,2039,0
10,100,96
10,200,89
10,300,79
10,400,72
10,500,65
10,600,61
10,700,59
10,800,54
10,900,47
10,1000,45
10,1100,35
10,1200,33
10,1300,24
10,1400,14
10,1500,12
10,1600,8
10,1700,5
10,1800,3
10,1900,2
10,2000,2
10,2055,0
11,100,82
11,200,74
11,300,68
11,400,66
11,500,64
11,600,61
11,700,55
11,800,49
11,900,43
11,1000,42
11,1100,39
11,1200,34
11,1300,29
11,1400,24
11,1500,22
11,1600,19
11,1700,12
11,1800,6
11,1900,4
11,2000,4
11,2100,2
11,2130,0
12,100,77
12,200,72
12,300,65
12,400,54
12,500,37
12,600,24
12,700,13
12,800,10
12,900,9
12,1000,9
12,1100,5
12,1200,3
12,1300,3
12,1337,0
13,100,74
13,200,60
13,300,45
13,400,29
13,500,19
13,600,13
13,700,4
13,755,0
14,100,90
14,200,78
14,300,61
14,400,53
14,500,41
14,600,34
14,700,24
14,800,20
14,900,15
14,1000,6
14,1100,1
14,1102,0
15,100,86
15,200,73
15,300,54
15,400,46
15,500,42
15,600,37
15,700,33
15,800,28
15,900,27
15,1000,25
15,1100,18
15,1200,16
15,1300,10
15,1400,8
15,1500,1
15,1510,0
16,100,78
16,200,62
16,300,42
16,400,34
16,500,28
16,600,18
16,700,12
16,800,7
16,900,3
16,1000,3
16,1095,0
17,100,79
17,200,62
17,300,44
17,400,33
17,500,28
17,600,25
17,700,25
17,800,22
17,900,12
17,1000,10
17,1100,5
17,1200,1
17,1210,0
18,100,88
18,200,70
18,300,55
18,400,52
18,500,42
18,600,36
18,700,29
18,800,20
18,900,12
18,1000,9
18,1100,9
18,1200,8
18,1300,5
18,1400,2
18,1418,0
19,100,99
19,200,97
19,300,91
19,400,81
19,500,73
19,600,62
19,700,54
19,800,54
19,900,52
19,1000,51
19,1100,45
19,1200,41
19,1300,39
19,1400,36
19,1500,27
19,1600,21
19,1700,20
19,1800,20
19,1900,18
19,2000,16
19,2100,11
19,2200,8
19,2292,0
20,100,79
20,200,65
20,300,55
20,400,42
20,500,37
20,600,29
20,700,24
20,800,21
20,900,21
20,1000,15
20,1100,10
20,1200,9
20,1300,9
20,1400,3
20,1500,1
20,1546,0
21,100,75
21,200,64
21,300,50
21,400,33
21,500,23
21,600,22
21,700,17
21,800,17
21,900,12
21,1000,5
21,1052,0
22,100,71
22,200,58
22,300,37
22,400,32
22,500,25
22,600,24
22,700,24
22,800,24
22,900,24
22,1000,24
22,1100,21
22,1200,17
22,1300,11
22,1400,8
22,1500,8
22,1600,8
22,1700,8
22,1800,7
22,1900,5
22,2000,3
22,2044,0
23,100,76
23,200,68
23,300,67
23,400,64
23,500,54
23,600,52
23,700,48
23,800,40
23,900,31
23,1000,27
23,1100,22
23,1200,12
23,1300,9
23,1400,8
23,1500,8
23,1600,7
23,1700,7
23,1800,1
23,1819,0
24,100,91
24,200,83
24,300,80
24,400,66
24,500,52
24,600,35
24,700,25
24,800,18
24,900,17
24,1000,16
24,1100,12
24,1200,10
24,1300,4
24,1400,2
24,1481,0
25,100,99
25,200,96
25,300,88
25,400,85
25,500,69
25,600,59
25,700,50
25,800,40
25,900,36
25,1000,33
25,1100,32
25,1200,29
25,1300,26
25,1400,23
25,1500,23
25,1600,21
25,1700,21
25,1800,19
25,1900,19
25,2000,19
25,2100,19
25,2200,19
25,2300,19
25,2400,19
25,2500,19
25,2600,19
25,2700,16
25,2800,16
25,2900,16
25,3000,16
25,3100,15
25,3200,11
25,3300,6
25,3400,6
25,3500,4
25,3600,3
25,3700,2
25,3800,1
25,3860,0
26,100,85
26,200,67
26,300,59
26,400,52
26,500,42
26,600,38
26,700,34
26,800,29
26,900,23
26,1000,10
26,1100,8
26,1200,7
26,1300,6
26,1400,4
26,1500,1
26,1508,0
27,100,66
27,200,58
27,300,38
27,400,31
27,500,12
27,600,7
27,700,6
27,800,3
27,824,0
28,100,73
28,200,68
28,300,56
28,400,43
28,500,34
28,600,31
28,700,22
28,800,17
28,900,11
28,1000,5
28,1060,0
29,100,93
29,200,79
29,300,62
29,400,55
29,500,41
29,600,34
29,700,21
29,800,13
29,900,4
29,1000,2
29,1083,0
30,100,53
30,200,37
30,300,28
30,400,20
30,500,16
30,600,14
30,700,9
30,800,8
30,900,7
30,1000,5
30,1100,5
30,1200,1
30,1229,0
31,100,87
31,200,72
31,300,60
31,400,54
31,500,48
31,600,39
31,700,33
31,800,26
31,900,22
31,1000,21
31,1100,15
31,1200,10
31,1300,7
31,1366,0
32,100,88
32,200,72
32,300,52
32,400,50
32,500,39
32,600,26
32,700,24
32,800,21
32,900,18
32,1000,14
32,1100,9
32,1200,7
32,1300,3
32,1345,0
33,100,86
33,200,65
33,300,53
33,400,43
33,500,39
33,600,32
33,700,25
33,800,22
33,900,15
33,1000,12
33,1100,7
33,1200,6
33,1300,3
33,1393,0
34,100,89
34,200,63
34,300,45
34,400,44
34,500,39
34,600,37
34,700,35
34,800,28
34,900,19
34,1000,16
34,1100,16
34,1200,16
34,1300,16
34,1400,15
34,1500,11
34,1600,7
34,1700,4
34,1766,0
35,100,97
35,200,87
35,300,75
35,400,72
35,500,66
35,600,62
35,700,62
35,800,58
35,900,52
35,1000,47
35,1100,44
35,1200,36
35,1300,29
35,1400,26
35,1500,23
35,1600,21
35,1700,11
35,1800,5
35,1900,0
35,1900,0
36,100,90
36,200,61
36,300,46
36,400,41
36,500,35
36,600,16
36,700,4
36,800,4
36,900,4
36,1000,1
36,1008,0
37,100,82
37,200,63
37,300,57
37,400,49
37,500,46
37,600,40
37,700,36
37,800,27
37,900,20
37,1000,20
37,1100,15
37,1200,10
37,1300,10
37,1400,9
37,1500,7
37,1600,7
37,1700,6
37,1800,1
37,1806,0
38,100,81
38,200,70
38,300,66
38,400,56
38,500,53
38,600,50
38,700,45
38,800,39
38,900,39
38,1000,38
38,1100,35
38,1200,35
38,1300,34
38,1400,27
38,1500,26
38,1600,22
38,1700,21
38,1800,21
38,1900,20
38,2000,20
38,2100,19
38,2200,17
38,2300,14
38,2400,11
38,2500,7
38,2600,7
38,2700,7
38,2800,7
38,2900,4
38,2963,0
39,100,94
39,200,87
39,300,79
39,400,71
39,500,67
39,600,59
39,700,53
39,800,53
39,900,49
39,1000,40
39,1100,31
39,1200,30
39,1300,24
39,1400,20
39,1500,18
39,1600,12
39,1700,8
39,1800,4
39,1900,3
39,1953,0
40,100,99
40,200,94
40,300,90
40,400,90
40,500,84
40,600,75
40,700,62
40,800,52
40,900,50
40,1000,47
40,1100,46
40,1200,45
40,1300,41
40,1400,39
40,1500,39
40,1600,38
40,1700,37
40,1800,37
40,1900,36
40,2000,35
40,2100,35
40,2200,32
40,2300,26
40,2400,26
40,2500,24
40,2600,21
40,2700,21
40,2800,18
40,2900,18
40,3000,18
40,3100,18
40,3200,18
40,3300,18
40,3400,18
40,3500,17
40,3600,13
40,3700,9
40,3800,9
40,3900,8
40,4000,5
40,4100,3
40,4200,3
40,4300,2
40,4400,2
40,4500,2
40,4600,2
40,4700,2
40,4800,2
40,4900,2
40,5000,2
40,5050,0
41,100,90
41,200,74
41,300,63
41,400,53
41,500,44
41,600,35
41,700,27
41,800,25
41,900,21
41,1000,19
41,1100,19
41,1200,18
41,1300,18
41,1400,15
41,1500,9
41,1600,5
41,1650,0
42,100,76
42,200,72
42,300,61
42,400,54
42,500,44
42,600,35
42,700,29
42,800,27
42,900,24
42,1000,20
42,1100,16
42,1200,13
42,1300,11
42,1400,8
42,1500,5
42,1600,5
42,1700,1
42,1753,0
43,100,51
43,200,23
43,300,5
43,326,0
44,100,57
44,200,50
44,300,43
44,400,37
44,500,33
44,600,26
44,700,23
44,800,19
44,900,19
44,1000,18
44,1100,17
44,1200,17
44,1300,14
44,1400,14
44,1500,14
44,1600,13
44,1700,12
44,1800,12
44,1900,12
44,2000,12
44,2100,11
44,2200,9
44,2300,4
44,2400,4
44,2477,0
45,100,92
45,200,81
45,300,72
45,400,62
45,500,47
45,600,40
45,700,37
45,800,34
45,900,30
45,1000,28
45,1100,24
45,1200,19
45,1300,17
45,1400,15
45,1500,15
45,1600,15
45,1700,12
45,1800,11
45,1900,9
45,2000,8
45,2100,8
45,2200,6
45,2300,4
45,2400,4
45,2500,2
45,2530,0
46,100,88
46,200,64
46,300,49
46,400,40
46,500,39
46,600,35
46,700,33
46,800,28
46,900,24
46,1000,19
46,1100,9
46,1200,6
46,1300,6
46,1400,6
46,1500,5
46,1600,4
46,1700,4
46,1752,0
47,100,91
47,200,73
47,300,61
47,400,45
47,500,32
47,600,27
47,700,25
47,800,18
47,900,12
47,1000,3
47,1030,0
48,100,94
48,200,89
48,300,87
48,400,78
48,500,74
48,600,65
48,700,52
48,800,47
48,900,37
48,1000,26
48,1100,22
48,1200,14
48,1300,7
