run,after_nr_steps,remaining_food
1,100,54
1,200,19
1,300,3
1,318,0
2,100,43
2,200,5
2,214,0
3,100,51
3,200,25
3,300,11
3,368,0
4,100,67
4,200,37
4,300,20
4,372,0
5,100,42
5,200,15
5,266,0
6,100,41
6,200,4
6,214,0
7,100,66
7,200,39
7,300,24
7,400,12
7,447,0
8,100,55
8,200,22
8,300,4
8,311,0
9,100,56
9,200,11
9,266,0
10,100,66
10,200,31
10,297,0
11,100,53
11,200,1
11,206,0
12,100,46
12,200,8
12,240,0
13,100,69
13,200,33
13,300,25
13,400,12
13,460,0
14,100,56
14,200,24
14,300,8
14,332,0
15,100,2
15,101,0
16,100,26
16,200,7
16,229,0
17,100,44
17,200,24
17,300,8
17,333,0
18,100,66
18,200,24
18,300,24
18,400,21
18,500,10
18,600,10
18,700,9
18,800,2
18,811,0
19,100,42
19,200,14
19,252,0
20,100,69
20,200,49
20,300,29
20,400,17
20,487,0
21,100,45
21,200,12
21,284,0
22,100,52
22,200,6
22,255,0
23,100,44
23,200,8
23,230,0
24,100,47
24,200,15
24,300,1
24,304,0
25,100,25
25,200,14
25,281,0
26,100,47
26,200,8
26,250,0
27,100,62
27,200,28
27,300,14
27,400,1
27,428,0
28,100,22
28,178,0
29,100,37
29,200,13
29,268,0
30,100,26
30,200,1
30,210,0
31,100,39
31,200,7
31,266,0
32,100,31
32,200,12
32,245,0
33,100,25
33,200,1
33,207,0
34,100,46
34,200,4
34,214,0
35,100,18
35,198,0
36,100,51
36,200,19
36,300,4
36,322,0
37,100,56
37,200,25
37,300,10
37,359,0
38,100,47
38,200,19
38,300,11
38,366,0
39,100,24
39,200,3
39,210,0
40,100,47
40,200,15
40,252,0
41,100,24
41,200,17
41,300,7
41,331,0
42,100,39
42,200,17
42,300,5
42,345,0
43,100,31
43,200,9
43,231,0
44,100,38
44,200,4
44,227,0
45,100,49
45,200,0
45,200,0
46,100,45
46,200,15
46,300,4
46,327,0
47,100,61
47,200,6
47,218,0
48,100,31
48,200,23
48,299,0
49,100,43
49,200,30
49,300,3
49,318,0
50,100,59
50,200,29
50,300,18
50,400,3
50,410,0
