run,after_nr_steps,remaining_food
1,100,96
1,200,92
1,300,91
1,400,89
1,500,85
1,600,84
1,700,81
1,800,74
1,900,71
1,1000,67
1,1100,64
1,1200,59
1,1300,59
1,1400,58
1,1500,56
1,1600,54
1,1700,53
1,1800,53
1,1900,53
1,2000,51
1,2100,51
1,2200,51
1,2300,49
1,2400,46
1,2500,45
1,2600,44
1,2700,44
1,2800,43
1,2900,41
1,3000,41
1,3100,39
1,3200,39
1,3300,36
1,3400,34
1,3500,31
1,3600,27
1,3700,27
1,3800,26
1,3900,24
1,4000,23
1,4100,22
1,4200,22
1,4300,22
1,4400,22
1,4500,22
1,4600,20
1,4700,18
1,4800,17
1,4900,17
1,5000,17
1,5100,17
1,5200,17
1,5300,16
1,5400,16
1,5500,16
1,5600,16
1,5700,16
1,5800,16
1,5900,15
1,6000,13
1,6100,13
1,6200,13
1,6300,13
1,6400,13
1,6500,13
1,6600,13
1,6700,12
1,6800,12
1,6900,12
1,7000,12
1,7100,12
1,7200,12
1,7300,12
1,7400,11
1,7500,11
1,7600,11
1,7700,11
1,7800,11
1,7900,11
1,8000,11
1,8100,10
1,8200,9
1,8300,9
1,8400,9
1,8500,9
1,8600,9
1,8700,9
1,8800,9
1,8900,9
1,9000,9
1,9100,9
1,9200,9
1,9300,9
1,9400,9
1,9500,9
1,9600,9
1,9700,9
1,9800,9
1,9900,9
1,10000,9
1,10100,9
1,10200,9
1,10300,8
1,10400,8
1,10500,7
1,10600,7
1,10700,7
1,10800,6
1,10900,6
1,11000,5
1,11100,5
1,11200,5
1,11300,5
1,11400,5
1,11500,5
1,11600,5
1,11700,5
1,11800,4
1,11900,4
1,12000,2
1,12100,2
1,12200,2
1,12300,1
1,12400,1
1,12500,1
1,12600,1
1,12700,1
1,12800,1
1,12900,1
1,13000,1
1,13100,1
1,13200,1
1,13300,1
1,13400,1
1,13500,1
1,13600,1
1,13700,1
1,13800,1
1,13845,0
2,100,97
2,200,88
2,300,79
2,400,77
2,500,75
2,600,75
2,700,74
2,800,74
2,900,74
2,1000,74
2,1100,72
2,1200,71
2,1300,71
2,1400,71
2,1500,71
2,1600,71
2,1700,70
2,1800,69
2,1900,69
2,2000,68
2,2100,66
2,2200,66
2,2300,66
2,2400,66
2,2500,64
2,2600,62
2,2700,62
2,2800,62
2,2900,62
2,3000,62
2,3100,62
2,3200,62
2,3300,60
2,3400,60
2,3500,60
2,3600,60
2,3700,60
2,3800,60
2,3900,58
2,4000,58
2,4100,58
2,4200,58
2,4300,57
2,4400,56
2,4500,56
2,4600,54
2,4700,53
2,4800,52
2,4900,52
2,5000,52
2,5100,50
2,5200,49
2,5300,47
2,5400,47
2,5500,46
2,5600,45
2,5700,44
2,5800,43
2,5900,42
2,6000,41
2,6100,41
2,6200,41
2,6300,41
2,6400,40
2,6500,40
2,6600,40
2,6700,40
2,6800,40
2,6900,40
2,7000,40
2,7100,40
2,7200,40
2,7300,40
2,7400,40
2,7500,40
2,7600,40
2,7700,40
2,7800,40
2,7900,39
2,8000,39
2,8100,38
2,8200,37
2,8300,37
2,8400,37
2,8500,37
2,8600,37
2,8700,36
2,8800,36
2,8900,35
2,9000,34
2,9100,32
2,9200,31
2,9300,31
2,9400,30
2,9500,30
2,9600,29
2,9700,29
2,9800,28
2,9900,26
2,10000,26
2,10100,25
2,10200,25
2,10300,25
2,10400,25
2,10500,25
2,10600,24
2,10700,24
2,10800,22
2,10900,22
2,11000,22
2,11100,22
2,11200,21
2,11300,20
2,11400,20
2,11500,18
2,11600,18
2,11700,18
2,11800,18
2,11900,18
2,12000,18
2,12100,18
2,12200,18
2,12300,18
2,12400,18
2,12500,18
2,12600,18
2,12700,17
2,12800,17
2,12900,17
2,13000,17
2,13100,15
2,13200,14
2,13300,12
2,13400,12
2,13500,11
2,13600,11
2,13700,11
2,13800,11
2,13900,11
2,14000,10
2,14100,10
2,14200,10
2,14300,10
2,14400,10
2,14500,10
2,14600,10
2,14700,9
2,14800,9
2,14900,9
2,15000,8
2,15100,7
2,15200,7
2,15300,6
2,15400,6
2,15500,5
2,15600,5
2,15700,4
2,15800,4
2,15900,3
2,16000,3
2,16100,3
2,16200,3
