run,total_steps
1,3100
2,3427
3,6198
4,4611
5,2015
6,4072
7,2400
8,2689
9,3906
10,1129
11,5412
12,3355
13,3000
14,6578
15,2854
16,3609
17,2797
18,3205
19,3806
20,6437
21,4803
22,2821
23,6314
24,3090
25,1828
26,3182
27,2902
28,2296
29,4188
30,3810
31,1848
32,3316
33,3686
34,2131
35,3348
36,1944
37,2725
38,4588
39,2533
40,3303
41,1996
42,4566
43,4339
44,1756
45,3159
46,3356
47,3763
48,4280
49,3458
50,2111
51,4572
52,2113
53,1851
54,3401
55,2614
56,4430
57,7135
58,3171
59,2783
60,1875
61,3283
62,3054
63,3863
64,3464
65,6704
66,3177
67,4139
68,2045
69,4576
70,3665
71,2888
72,3274
73,3694
74,2168
75,3393
76,4802
77,2253
78,4109
79,5590
80,3515
81,3774
82,3125
83,3682
84,3112
85,4386
86,6025
87,3528
88,2931
89,2400
90,6194
91,3743
92,5662
93,3864
94,2644
95,2623
96,2877
97,2756
98,1573
99,3130
100,4307
