run,total_steps
1,6634
2,2227
3,4477
4,3083
5,3193
6,4933
7,3192
8,4133
9,5801
10,5156
11,4330
12,5282
13,5385
14,2873
15,4920
16,2701
17,3143
18,2924
19,4378
20,3155
21,5807
22,4982
23,3135
24,2204
25,2450
26,3790
27,3499
28,3724
29,3739
30,4491
31,7213
32,3227
33,1533
34,4346
35,1765
36,4078
37,4016
38,3355
39,1874
40,4671
41,4101
42,3315
43,4180
44,4663
45,5835
46,5221
47,5086
48,6410
49,3581
50,3652
51,3966
52,3613
53,4434
54,2519
55,3370
56,2992
57,2476
58,2339
59,2727
60,2668
61,4132
62,5793
63,4517
64,4785
65,2842
66,4124
67,2453
68,4478
69,2522
70,3730
71,5767
72,3604
73,2612
74,2109
75,2142
76,3848
77,3087
78,3864
79,2857
80,2459
81,5613
82,5301
83,3105
84,2333
85,3906
86,4939
87,3135
88,2653
89,3889
90,3457
91,2949
92,3410
93,4386
94,3097
95,2828
96,4450
97,4822
98,2307
99,4956
100,2730
