run,food_left
1,"[{'steps': 100, 'remaining_food': 81}, {'steps': 200, 'remaining_food': 67}, {'steps': 300, 'remaining_food': 61}, {'steps': 400, 'remaining_food': 59}, {'steps': 500, 'remaining_food': 57}, {'steps': 600, 'remaining_food': 51}, {'steps': 700, 'remaining_food': 47}, {'steps': 800, 'remaining_food': 43}, {'steps': 900, 'remaining_food': 41}, {'steps': 1000, 'remaining_food': 38}, {'steps': 1100, 'remaining_food': 38}, {'steps': 1200, 'remaining_food': 38}, {'steps': 1300, 'remaining_food': 36}, {'steps': 1400, 'remaining_food': 33}, {'steps': 1500, 'remaining_food': 27}, {'steps': 1600, 'remaining_food': 23}, {'steps': 1700, 'remaining_food': 23}, {'steps': 1800, 'remaining_food': 12}, {'steps': 1900, 'remaining_food': 11}, {'steps': 2000, 'remaining_food': 10}, {'steps': 2100, 'remaining_food': 10}, {'steps': 2200, 'remaining_food': 10}, {'steps': 2300, 'remaining_food': 10}, {'steps': 2400, 'remaining_food': 10}, {'steps': 2500, 'remaining_food': 10}, {'steps': 2600, 'remaining_food': 10}, {'steps': 2700, 'remaining_food': 7}, {'steps': 2800, 'remaining_food': 3}, {'steps': 2900, 'remaining_food': 2}, {'steps': 3000, 'remaining_food': 2}, {'steps': 3079, 'remaining_food': 0}]"
2,"[{'steps': 100, 'remaining_food': 98}, {'steps': 200, 'remaining_food': 90}, {'steps': 300, 'remaining_food': 81}, {'steps': 400, 'remaining_food': 68}, {'steps': 500, 'remaining_food': 55}, {'steps': 600, 'remaining_food': 43}, {'steps': 700, 'remaining_food': 40}, {'steps': 800, 'remaining_food': 34}, {'steps': 900, 'remaining_food': 26}, {'steps': 1000, 'remaining_food': 20}, {'steps': 1100, 'remaining_food': 15}, {'steps': 1200, 'remaining_food': 13}, {'steps': 1300, 'remaining_food': 13}, {'steps': 1400, 'remaining_food': 13}, {'steps': 1500, 'remaining_food': 13}, {'steps': 1600, 'remaining_food': 13}, {'steps': 1700, 'remaining_food': 13}, {'steps': 1800, 'remaining_food': 12}, {'steps': 1900, 'remaining_food': 8}, {'steps': 2000, 'remaining_food': 6}, {'steps': 2100, 'remaining_food': 3}, {'steps': 2200, 'remaining_food': 2}, {'steps': 2300, 'remaining_food': 2}, {'steps': 2400, 'remaining_food': 1}, {'steps': 2451, 'remaining_food': 0}]"
3,"[{'steps': 100, 'remaining_food': 94}, {'steps': 200, 'remaining_food': 75}, {'steps': 300, 'remaining_food': 55}, {'steps': 400, 'remaining_food': 48}, {'steps': 500, 'remaining_food': 33}, {'steps': 600, 'remaining_food': 31}, {'steps': 700, 'remaining_food': 29}, {'steps': 800, 'remaining_food': 24}, {'steps': 900, 'remaining_food': 19}, {'steps': 1000, 'remaining_food': 15}, {'steps': 1100, 'remaining_food': 10}, {'steps': 1200, 'remaining_food': 8}, {'steps': 1300, 'remaining_food': 8}, {'steps': 1400, 'remaining_food': 8}, {'steps': 1500, 'remaining_food': 4}, {'steps': 1590, 'remaining_food': 0}]"
4,"[{'steps': 100, 'remaining_food': 98}, {'steps': 200, 'remaining_food': 87}, {'steps': 300, 'remaining_food': 77}, {'steps': 400, 'remaining_food': 62}, {'steps': 500, 'remaining_food': 40}, {'steps': 600, 'remaining_food': 26}, {'steps': 700, 'remaining_food': 19}, {'steps': 800, 'remaining_food': 11}, {'steps': 900, 'remaining_food': 8}, {'steps': 1000, 'remaining_food': 8}, {'steps': 1100, 'remaining_food': 6}, {'steps': 1200, 'remaining_food': 1}, {'steps': 1300, 'remaining_food': 1}, {'steps': 1400, 'remaining_food': 1}, {'steps': 1500, 'remaining_food': 1}, {'steps': 1600, 'remaining_food': 1}, {'steps': 1626, 'remaining_food': 0}]"
5,"[{'steps': 100, 'remaining_food': 90}, {'steps': 200, 'remaining_food': 78}, {'steps': 300, 'remaining_food': 65}, {'steps': 400, 'remaining_food': 51}, {'steps': 500, 'remaining_food': 40}, {'steps': 600, 'remaining_food': 25}, {'steps': 700, 'remaining_food': 21}, {'steps': 800, 'remaining_food': 20}, {'steps': 900, 'remaining_food': 20}, {'steps': 1000, 'remaining_food': 20}, {'steps': 1100, 'remaining_food': 17}, {'steps': 1200, 'remaining_food': 12}, {'steps': 1300, 'remaining_food': 9}, {'steps': 1400, 'remaining_food': 9}, {'steps': 1500, 'remaining_food': 4}, {'steps': 1600, 'remaining_food': 1}, {'steps': 1700, 'remaining_food': 1}, {'steps': 1712, 'remaining_food': 0}]"
6,"[{'steps': 100, 'remaining_food': 98}, {'steps': 200, 'remaining_food': 96}, {'steps': 300, 'remaining_food': 91}, {'steps': 400, 'remaining_food': 86}, {'steps': 500, 'remaining_food': 73}, {'steps': 600, 'remaining_food': 65}, {'steps': 700, 'remaining_food': 56}, {'steps': 800, 'remaining_food': 50}, {'steps': 900, 'remaining_food': 44}, {'steps': 1000, 'remaining_food': 40}, {'steps': 1100, 'remaining_food': 35}, {'steps': 1200, 'remaining_food': 32}, {'steps': 1300, 'remaining_food': 27}, {'steps': 1400, 'remaining_food': 24}, {'steps': 1500, 'remaining_food': 19}, {'steps': 1600, 'remaining_food': 16}, {'steps': 1700, 'remaining_food': 15}, {'steps': 1800, 'remaining_food': 10}, {'steps': 1900, 'remaining_food': 6}, {'steps': 2000, 'remaining_food': 2}, {'steps': 2100, 'remaining_food': 2}, {'steps': 2200, 'remaining_food': 2}, {'steps': 2298, 'remaining_food': 0}]"
7,"[{'steps': 100, 'remaining_food': 90}, {'steps': 200, 'remaining_food': 80}, {'steps': 300, 'remaining_food': 70}, {'steps': 400, 'remaining_food': 65}, {'steps': 500, 'remaining_food': 60}, {'steps': 600, 'remaining_food': 56}, {'steps': 700, 'remaining_food': 49}, {'steps': 800, 'remaining_food': 43}, {'steps': 900, 'remaining_food': 38}, {'steps': 1000, 'remaining_food': 33}, {'steps': 1100, 'remaining_food': 27}, {'steps': 1200, 'remaining_food': 23}, {'steps': 1300, 'remaining_food': 21}, {'steps': 1400, 'remaining_food': 20}, {'steps': 1500, 'remaining_food': 18}, {'steps': 1600, 'remaining_food': 18}, {'steps': 1700, 'remaining_food': 17}, {'steps': 1800, 'remaining_food': 15}, {'steps': 1900, 'remaining_food': 15}, {'steps': 2000, 'remaining_food': 14}, {'steps': 2100, 'remaining_food': 14}, {'steps': 2200, 'remaining_food': 9}, {'steps': 2300, 'remaining_food': 2}, {'steps': 2309, 'remaining_food': 0}]"
8,"[{'steps': 100, 'remaining_food': 96}, {'steps': 200, 'remaining_food': 84}, {'steps': 300, 'remaining_food': 72}, {'steps': 400, 'remaining_food': 62}, {'steps': 500, 'remaining_food': 56}, {'steps': 600, 'remaining_food': 52}, {'steps': 700, 'remaining_food': 47}, {'steps': 800, 'remaining_food': 42}, {'steps': 900, 'remaining_food': 39}, {'steps': 1000, 'remaining_food': 38}, {'steps': 1100, 'remaining_food': 35}, {'steps': 1200, 'remaining_food': 30}, {'steps': 1300, 'remaining_food': 28}, {'steps': 1400, 'remaining_food': 24}, {'steps': 1500, 'remaining_food': 21}, {'steps': 1600, 'remaining_food': 20}, {'steps': 1700, 'remaining_food': 16}, {'steps': 1800, 'remaining_food': 16}, {'steps': 1900, 'remaining_food': 15}, {'steps': 2000, 'remaining_food': 13}, {'steps': 2100, 'remaining_food': 13}, {'steps': 2200, 'remaining_food': 11}, {'steps': 2300, 'remaining_food': 9}, {'steps': 2400, 'remaining_food': 9}, {'steps': 2500, 'remaining_food': 6}, {'steps': 2600, 'remaining_food': 5}, {'steps': 2700, 'remaining_food': 3}, {'steps': 2758, 'remaining_food': 0}]"
9,"[{'steps': 100, 'remaining_food': 73}, {'steps': 200, 'remaining_food': 52}, {'steps': 300, 'remaining_food': 48}, {'steps': 400, 'remaining_food': 35}, {'steps': 500, 'remaining_food': 30}, {'steps': 600, 'remaining_food': 25}, {'steps': 700, 'remaining_food': 9}, {'steps': 800, 'remaining_food': 3}, {'steps': 859, 'remaining_food': 0}]"
10,"[{'steps': 100, 'remaining_food': 91}, {'steps': 200, 'remaining_food': 79}, {'steps': 300, 'remaining_food': 70}, {'steps': 400, 'remaining_food': 55}, {'steps': 500, 'remaining_food': 49}, {'steps': 600, 'remaining_food': 37}, {'steps': 700, 'remaining_food': 26}, {'steps': 800, 'remaining_food': 22}, {'steps': 900, 'remaining_food': 22}, {'steps': 1000, 'remaining_food': 21}, {'steps': 1100, 'remaining_food': 18}, {'steps': 1200, 'remaining_food': 15}, {'steps': 1300, 'remaining_food': 11}, {'steps': 1400, 'remaining_food': 10}, {'steps': 1500, 'remaining_food': 6}, {'steps': 1600, 'remaining_food': 1}, {'steps': 1630, 'remaining_food': 0}]"
11,"[{'steps': 100, 'remaining_food': 95}, {'steps': 200, 'remaining_food': 83}, {'steps': 300, 'remaining_food': 77}, {'steps': 400, 'remaining_food': 67}, {'steps': 500, 'remaining_food': 61}, {'steps': 600, 'remaining_food': 53}, {'steps': 700, 'remaining_food': 45}, {'steps': 800, 'remaining_food': 34}, {'steps': 900, 'remaining_food': 21}, {'steps': 1000, 'remaining_food': 14}, {'steps': 1100, 'remaining_food': 9}, {'steps': 1200, 'remaining_food': 8}, {'steps': 1300, 'remaining_food': 7}, {'steps': 1400, 'remaining_food': 4}, {'steps': 1500, 'remaining_food': 1}, {'steps': 1506, 'remaining_food': 0}]"
12,"[{'steps': 100, 'remaining_food': 80}, {'steps': 200, 'remaining_food': 67}, {'steps': 300, 'remaining_food': 54}, {'steps': 400, 'remaining_food': 47}, {'steps': 500, 'remaining_food': 37}, {'steps': 600, 'remaining_food': 33}, {'steps': 700, 'remaining_food': 25}, {'steps': 800, 'remaining_food': 17}, {'steps': 900, 'remaining_food': 7}, {'steps': 1000, 'remaining_food': 7}, {'steps': 1100, 'remaining_food': 5}, {'steps': 1200, 'remaining_food': 1}, {'steps': 1291, 'remaining_food': 0}]"
13,"[{'steps': 100, 'remaining_food': 75}, {'steps': 200, 'remaining_food': 54}, {'steps': 300, 'remaining_food': 40}, {'steps': 400, 'remaining_food': 31}, {'steps': 500, 'remaining_food': 25}, {'steps': 600, 'remaining_food': 19}, {'steps': 700, 'remaining_food': 14}, {'steps': 800, 'remaining_food': 3}, {'steps': 839, 'remaining_food': 0}]"
