run,after_nr_steps,remaining_food
1,100,94
1,200,85
1,300,64
1,400,46
1,500,36
1,600,20
1,700,15
1,800,13
1,900,13
1,1000,10
1,1100,7
1,1200,4
1,1300,2
1,1400,2
1,1500,2
1,1538,0
2,100,70
2,200,49
2,300,33
2,400,28
2,500,28
2,600,28
2,700,25
2,800,24
2,900,23
2,1000,22
2,1100,22
2,1200,20
2,1300,17
2,1400,17
2,1500,16
2,1600,14
2,1700,9
2,1800,7
2,1900,7
2,2000,7
2,2100,6
2,2200,4
2,2300,4
2,2400,3
2,2500,1
2,2504,0
3,100,91
3,200,82
3,300,68
3,400,61
3,500,53
3,600,51
3,700,38
3,800,33
3,900,27
3,1000,21
3,1100,17
3,1200,11
3,1300,11
3,1400,9
3,1500,7
3,1600,5
3,1700,5
3,1800,5
3,1900,5
3,2000,5
3,2100,3
3,2172,0
4,100,88
4,200,79
4,300,63
4,400,47
4,500,35
4,600,26
4,700,17
4,800,6
4,884,0
5,100,93
5,200,83
5,300,72
5,400,64
5,500,54
5,600,48
5,700,39
5,800,38
5,900,29
5,1000,23
5,1100,23
5,1200,23
5,1300,23
5,1400,20
5,1500,20
5,1600,20
5,1700,19
5,1800,18
5,1900,16
5,2000,13
5,2100,11
5,2200,11
5,2300,11
5,2400,9
5,2500,3
5,2600,3
5,2700,2
5,2800,1
5,2900,1
5,2923,0
6,100,77
6,200,73
6,300,71
6,400,59
6,500,54
6,600,48
6,700,35
6,800,24
6,900,20
6,1000,11
6,1100,5
6,1172,0
7,100,92
7,200,75
7,300,61
7,400,59
7,500,55
7,600,49
7,700,43
7,800,35
7,900,34
7,1000,31
7,1100,22
7,1200,20
7,1300,19
7,1400,17
7,1500,15
7,1600,11
7,1700,5
7,1790,0
8,100,84
8,200,73
8,300,62
8,400,58
8,500,58
8,600,56
8,700,51
8,800,46
8,900,43
8,1000,43
8,1100,39
8,1200,38
8,1300,36
8,1400,36
8,1500,35
8,1600,34
8,1700,32
8,1800,31
8,1900,30
8,2000,29
8,2100,27
8,2200,25
8,2300,19
8,2400,16
8,2500,12
8,2600,9
8,2700,9
8,2800,9
8,2900,8
8,3000,8
8,3100,3
8,3147,0
9,100,97
9,200,83
9,300,72
9,400,54
9,500,50
9,600,43
9,700,36
9,800,28
9,900,27
9,1000,21
9,1100,21
9,1200,17
9,1300,14
9,1400,11
9,1500,11
9,1600,11
9,1700,8
9,1800,4
9,1900,3
9,1924,0
10,100,88
10,200,73
10,300,57
10,400,43
10,500,29
10,600,25
10,700,24
10,800,18
10,900,15
10,1000,9
10,1100,4
10,1200,3
10,1237,0
11,100,79
11,200,57
11,300,35
11,400,24
11,500,16
11,600,10
11,700,10
11,800,10
11,900,9
11,1000,5
11,1100,2
11,1145,0
12,100,89
12,200,79
12,300,72
12,400,64
12,500,57
12,600,51
12,700,47
12,800,42
12,900,32
12,1000,26
12,1100,25
12,1200,17
12,1300,17
12,1400,15
12,1500,12
12,1600,7
12,1700,1
12,1709,0
13,100,77
13,200,55
13,300,43
13,400,34
13,500,24
13,600,18
13,700,17
13,800,17
13,900,16
13,1000,13
13,1100,13
13,1200,12
13,1300,9
13,1400,3
13,1500,1
13,1507,0
14,100,86
14,200,60
14,300,44
14,400,28
14,500,27
14,600,22
14,700,21
14,800,16
14,900,16
14,1000,15
14,1100,15
14,1200,14
14,1300,13
14,1400,13
14,1500,10
14,1600,4
14,1637,0
15,100,75
15,200,60
15,300,47
15,400,43
15,500,37
15,600,24
15,700,9
15,800,3
15,855,0
16,100,94
16,200,89
16,300,74
16,400,62
16,500,49
16,600,47
16,700,44
16,800,42
16,900,42
16,1000,42
16,1100,41
16,1200,40
16,1300,38
16,1400,35
16,1500,35
16,1600,34
16,1700,34
16,1800,34
16,1900,34
16,2000,34
16,2100,31
16,2200,26
16,2300,26
16,2400,25
16,2500,23
16,2600,18
16,2700,14
16,2800,13
16,2900,11
16,3000,9
16,3100,8
16,3200,4
16,3300,3
16,3400,2
16,3500,2
16,3600,2
16,3700,2
16,3762,0
17,100,90
17,200,84
17,300,74
17,400,61
17,500,49
17,600,43
17,700,27
17,800,16
17,900,15
17,1000,9
17,1100,7
17,1200,6
17,1300,1
17,1311,0
18,100,94
18,200,77
18,300,64
18,400,50
18,500,49
18,600,48
18,700,44
18,800,37
18,900,30
18,1000,29
18,1100,25
18,1200,18
18,1300,13
18,1400,10
18,1500,6
18,1600,5
18,1700,1
18,1739,0
19,100,84
19,200,69
19,300,52
19,400,49
19,500,37
19,600,28
19,700,16
19,800,11
19,900,11
19,1000,10
19,1100,9
19,1200,4
19,1254,0
20,100,90
20,200,80
20,300,78
20,400,71
20,500,64
20,600,59
20,700,49
20,800,42
20,900,37
20,1000,33
20,1100,31
20,1200,28
20,1300,26
20,1400,20
20,1500,16
20,1600,14
20,1700,6
20,1800,2
20,1895,0
21,100,88
21,200,72
21,300,56
21,400,45
21,500,39
21,600,36
21,700,33
21,800,27
21,900,24
21,1000,23
21,1100,23
21,1200,23
21,1300,23
21,1400,23
21,1500,23
21,1600,22
21,1700,21
21,1800,17
21,1900,17
21,2000,17
21,2100,16
21,2200,12
21,2300,8
21,2400,8
21,2500,8
21,2600,7
21,2700,4
21,2800,4
21,2900,4
21,3000,4
21,3100,4
21,3200,4
21,3300,4
21,3400,4
21,3500,2
21,3509,0
22,100,88
22,200,66
22,300,52
22,400,42
22,500,27
22,600,9
22,700,4
22,800,2
22,900,2
22,950,0
23,100,86
23,200,71
23,300,54
23,400,35
23,500,30
23,600,30
23,700,26
23,800,19
23,900,19
23,1000,19
23,1100,19
23,1200,19
23,1300,18
23,1400,13
23,1500,13
23,1600,13
23,1700,13
23,1800,11
23,1900,11
23,2000,11
23,2100,11
23,2200,9
23,2300,3
23,2400,1
23,2448,0
24,100,81
24,200,45
24,300,39
24,400,30
24,500,24
24,600,18
24,700,18
24,800,18
24,900,18
24,1000,18
24,1100,18
24,1200,13
24,1300,11
24,1400,11
24,1500,11
24,1600,9
24,1700,7
24,1749,0
25,100,76
25,200,60
25,300,47
25,400,42
25,500,37
25,600,28
25,700,21
25,800,16
25,900,8
25,1000,4
25,1100,2
25,1200,2
25,1245,0
26,100,77
26,200,49
26,300,28
26,400,20
26,500,9
26,600,3
26,700,1
26,715,0
27,100,78
27,200,75
27,300,68
27,400,65
27,500,65
27,600,61
27,700,56
27,800,54
27,900,51
27,1000,49
27,1100,41
27,1200,40
27,1300,38
27,1400,38
27,1500,36
27,1600,33
27,1700,32
27,1800,27
27,1900,20
27,2000,17
27,2100,13
27,2200,5
27,2300,4
27,2397,0
28,100,78
28,200,62
28,300,52
28,400,46
28,500,32
28,600,23
28,700,17
28,800,14
28,900,10
28,1000,7
28,1100,3
28,1200,3
28,1264,0
29,100,87
29,200,77
29,300,65
29,400,48
29,500,37
29,600,33
29,700,27
29,800,22
29,900,20
29,1000,18
29,1100,17
29,1200,16
29,1300,12
29,1400,10
29,1500,10
29,1600,10
29,1700,9
29,1800,8
29,1900,7
29,2000,5
29,2100,4
29,2200,3
29,2300,1
29,2400,1
29,2500,1
29,2600,1
29,2609,0
30,100,89
30,200,73
30,300,58
30,400,52
30,500,43
30,600,33
30,700,23
30,800,16
30,900,4
30,933,0
31,100,81
31,200,68
31,300,56
31,400,36
31,500,23
31,600,20
31,700,20
31,800,20
31,900,20
31,1000,20
31,1100,20
31,1200,18
31,1300,17
31,1400,13
31,1500,10
31,1600,10
31,1700,10
31,1800,9
31,1900,4
31,1939,0
32,100,89
32,200,65
32,300,50
32,400,30
32,500,18
32,600,5
32,657,0
33,100,88
33,200,69
33,300,46
33,400,39
33,500,32
33,600,22
33,700,19
33,800,18
33,900,13
33,1000,11
33,1100,8
33,1200,6
33,1300,5
33,1400,5
33,1500,4
33,1539,0
34,100,85
34,200,68
34,300,51
34,400,40
34,500,36
34,600,31
34,700,28
34,800,24
34,900,20
34,1000,15
34,1100,10
34,1200,6
34,1300,2
34,1371,0
35,100,94
35,200,78
35,300,53
35,400,37
35,500,24
35,600,23
35,700,23
35,800,23
35,900,23
35,1000,22
35,1100,19
35,1200,18
35,1300,18
35,1400,18
35,1500,16
35,1600,12
35,1700,11
35,1800,11
35,1900,11
35,2000,9
35,2100,7
35,2200,5
35,2300,5
35,2400,4
35,2479,0
36,100,93
36,200,85
36,300,71
36,400,56
36,500,42
36,600,35
36,700,22
36,800,13
36,900,4
36,1000,2
36,1021,0
37,100,96
37,200,84
37,300,70
37,400,63
37,500,59
37,600,58
37,700,54
37,800,51
37,900,48
37,1000,43
37,1100,36
37,1200,29
37,1300,21
37,1400,17
37,1500,16
37,1600,13
37,1700,5
37,1800,5
37,1900,4
37,2000,2
37,2048,0
38,100,94
38,200,86
38,300,78
38,400,68
38,500,60
38,600,51
38,700,47
38,800,41
38,900,32
38,1000,26
38,1100,21
38,1200,19
38,1300,18
38,1400,18
38,1500,16
38,1600,12
38,1700,7
38,1800,4
38,1867,0
39,100,84
39,200,70
39,300,57
39,400,41
39,500,38
39,600,31
39,700,29
39,800,26
39,900,26
39,1000,20
39,1100,9
39,1200,5
39,1300,4
39,1400,3
39,1500,3
39,1600,3
39,1700,3
39,1800,3
39,1900,1
39,1943,0
40,100,91
40,200,74
40,300,65
40,400,58
40,500,51
40,600,44
40,700,41
40,800,32
40,900,30
40,1000,25
40,1100,24
40,1200,14
40,1300,12
40,1400,7
40,1500,4
40,1600,4
40,1700,3
40,1800,3
40,1900,1
40,1903,0
41,100,85
41,200,63
41,300,44
41,400,28
41,500,22
41,600,20
41,700,14
41,800,9
41,900,8
41,1000,8
41,1100,8
41,1200,4
41,1254,0
42,100,91
42,200,73
42,300,59
42,400,51
42,500,46
42,600,41
42,700,39
42,800,33
42,900,28
42,1000,25
42,1100,21
42,1200,21
42,1300,17
42,1400,12
42,1500,10
42,1600,10
42,1700,10
42,1800,3
42,1844,0
43,100,67
43,200,48
43,300,43
43,400,35
43,500,35
43,600,31
43,700,25
43,800,21
43,900,21
43,1000,21
43,1100,21
43,1200,21
43,1300,21
43,1400,19
43,1500,15
43,1600,12
43,1700,11
43,1800,7
43,1900,4
43,2000,2
43,2063,0
44,100,87
44,200,58
44,300,47
44,400,35
44,500,21
44,600,11
44,700,9
44,800,8
44,900,6
44,1000,4
44,1067,0
45,100,93
45,200,76
45,300,64
45,400,52
45,500,42
45,600,37
45,700,30
45,800,21
45,900,16
45,1000,10
45,1100,4
45,1121,0
46,100,87
46,200,73
46,300,59
46,400,51
46,500,46
46,600,42
46,700,30
46,800,25
46,900,22
46,1000,15
46,1100,5
46,1200,5
46,1300,5
46,1400,4
46,1500,3
46,1522,0
47,100,90
47,200,68
47,300,48
47,400,40
47,500,38
47,600,30
47,700,21
47,800,16
47,900,11
47,1000,4
47,1100,2
47,1141,0
48,100,68
48,200,48
48,300,25
48,400,7
48,500,6
48,600,1
48,607,0
49,100,98
49,200,89
49,300,77
49,400,65
49,500,62
49,600,61
49,700,54
49,800,45
49,900,38
49,1000,33
49,1100,29
49,1200,25
49,1300,24
49,1400,24
49,1500,19
49,1600,15
49,1700,15
49,1800,12
49,1900,9
49,2000,3
49,2031,0
50,100,90
50,200,81
50,300,67
50,400,55
50,500,41
50,600,33
50,700,30
50,800,29
50,900,26
50,1000,21
50,1100,21
50,1200,18
50,1300,15
50,1400,12
50,1500,12
50,1600,12
50,1700,11
50,1800,7
50,1900,7
50,2000,3
50,2100,1
50,2146,0
51,100,88
51,200,85
51,300,75
51,400,64
51,500,52
51,600,51
51,700,44
51,800,43
51,900,37
51,1000,25
51,1100,20
51,1200,13
51,1300,6
51,1400,6
51,1500,6
51,1600,6
51,1700,2
51,1800,2
51,1900,1
51,2000,1
51,2100,1
51,2200,1
51,2300,1
51,2400,1
51,2424,0
52,100,84
52,200,65
52,300,44
52,400,33
52,500,21
52,600,12
52,700,11
52,800,9
52,900,9
52,1000,9
52,1100,9
52,1200,9
52,1300,8
52,1400,5
52,1500,4
52,1549,0
53,100,87
53,200,72
53,300,54
53,400,38
53,500,25
53,600,11
53,700,9
53,800,6
53,900,2
53,928,0
54,100,99
54,200,86
54,300,75
54,400,61
54,500,52
54,600,42
54,700,35
54,800,23
54,900,17
54,1000,12
54,1100,12
54,1200,11
54,1300,6
54,1400,1
54,1409,0
55,100,79
55,200,61
55,300,55
55,400,49
55,500,43
55,600,34
55,700,25
55,800,23
55,900,23
55,1000,18
55,1100,12
55,1200,5
55,1300,5
55,1393,0
56,100,90
56,200,73
56,300,67
56,400,60
56,500,48
56,600,42
56,700,35
56,800,31
56,900,30
56,1000,29
56,1100,29
56,1200,26
56,1300,26
56,1400,25
56,1500,22
56,1600,22
56,1700,20
56,1800,20
56,1900,20
56,2000,17
56,2100,13
56,2200,9
56,2300,8
56,2400,4
56,2500,4
56,2600,1
56,2682,0
57,100,82
57,200,64
57,300,52
57,400,35
57,500,24
57,600,17
57,700,15
57,800,7
57,900,7
57,1000,7
57,1100,5
57,1200,1
57,1284,0
58,100,77
58,200,59
58,300,49
58,400,44
58,500,38
58,600,37
58,700,31
58,800,25
58,900,25
58,1000,20
58,1100,18
58,1200,13
58,1300,8
58,1400,7
58,1500,4
58,1600,3
58,1700,2
58,1800,2
58,1863,0
59,100,93
59,200,84
59,300,70
59,400,46
59,500,39
59,600,36
59,700,29
59,800,23
59,900,17
59,1000,16
59,1100,16
59,1200,15
59,1300,9
59,1400,7
59,1500,3
59,1543,0
60,100,92
60,200,82
60,300,73
60,400,64
60,500,50
60,600,45
60,700,39
60,800,31
60,900,19
60,1000,14
60,1100,13
60,1200,13
60,1300,9
60,1400,8
60,1500,8
60,1600,8
60,1675,0
61,100,79
61,200,61
61,300,53
61,400,49
61,500,43
61,600,40
61,700,29
61,800,25
61,900,22
61,1000,20
61,1100,15
61,1200,11
61,1300,11
61,1400,7
61,1481,0
62,100,94
62,200,85
62,300,81
62,400,75
62,500,73
62,600,63
62,700,53
62,800,47
62,900,41
62,1000,34
62,1100,30
62,1200,23
62,1300,12
62,1400,11
62,1500,4
62,1600,2
62,1676,0
63,100,85
63,200,61
63,300,41
63,400,39
63,500,37
63,600,32
63,700,26
63,800,22
63,900,22
63,1000,18
63,1100,18
63,1200,18
63,1300,18
63,1400,18
63,1500,18
63,1600,18
63,1700,17
63,1800,15
63,1900,14
63,2000,14
63,2100,10
63,2200,2
63,2222,0
64,100,89
64,200,68
64,300,52
64,400,44
64,500,39
64,600,34
64,700,27
64,800,26
64,900,25
64,1000,23
64,1100,23
64,1200,22
64,1300,20
64,1400,17
64,1500,13
64,1600,9
64,1700,6
64,1800,4
64,1900,2
64,1930,0
65,100,92
65,200,75
65,300,69
65,400,55
65,500,40
65,600,31
65,700,12
65,800,7
65,900,5
65,976,0
66,100,65
66,200,52
66,300,39
66,400,31
66,500,21
66,600,17
66,700,17
66,800,17
66,900,16
66,1000,14
66,1100,9
66,1200,6
66,1300,6
66,1400,2
66,1426,0
67,100,80
67,200,70
67,300,59
67,400,54
67,500,50
67,600,46
67,700,46
67,800,42
67,900,39
